numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
5,"[4.99523, 5.06558, 4.92487, 4.99523, 5.06558]","[-0.232808, -0.197479, -0.19888, -0.199708, -0.200007]","[0.323404, 0.298883, 0.320676, 0.332767, 0.337017]","[0.147187, 0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:44
9,"[4.99523, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558]","[-0.201411, -0.231806, -0.23222, -0.237174, -0.234468, -0.233595, -0.165065, -0.166252, -0.167625]","[0.356125, 0.310492, 0.315908, 0.373593, 0.343549, 0.333138, 0.314633, 0.335695, 0.358229]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:45
9,"[4.99523, 5.06558, 4.99523, 5.06558, 5.13594, 5.06558, 4.99523, 5.06558, 5.13594]","[-0.236371, -0.233845, -0.239759, -0.240873, -0.240922, -0.247479, -0.196271, -0.19601, -0.195248]","[0.364991, 0.336163, 0.399704, 0.410314, 0.410769, 0.466829, 0.278479, 0.273843, 0.259778]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:46
10,"[4.92487, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 4.99523, 5.06558]","[-0.165252, -0.164989, -0.165948, -0.167752, -0.166311, -0.167135, -0.168167, -0.171536, -0.169544, -0.171323]","[0.318072, 0.313232, 0.330456, 0.360218, 0.336702, 0.350387, 0.366662, 0.414371, 0.387073, 0.41156]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:07:47
0,"[]","[]","[]","[]","[0.365692, 0.363198, -1.88308]","[1.7106, 2.2642, 2.04451]","[0.183853, -0.363198, -0.44024]","[0, 0, 0]",28/06/2025 12:07:48
11,"[5.06558, 5.13594, 5.2063, 5.06558, 5.13594, 5.2063, 5.13594, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.236783, -0.237572, -0.208691, -0.243781, -0.242334, -0.24261, -0.197214, -0.231394, -0.232332, -0.201371, -0.205008]","[0.369437, 0.377758, 0.439383, 0.436422, 0.423692, 0.426164, 0.294543, 0.305004, 0.317349, 0.355591, 0.400067]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:50
5,"[4.99523, 5.06558, 4.99523, 5.06558, 4.99523]","[-0.171069, -0.174949, -0.203129, -0.176469, -0.174261]","[0.408177, 0.456303, 0.377916, 0.473366, 0.448277]","[0, 0, 0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:51
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -1.88308]","[1.02823, 1.7106, 2.2642, 2.04451]","[0.12502, 0.183853, -0.363198, -0.44024]","[0, 0, 0, 0]",28/06/2025 12:07:52
3,"[4.92487, 4.99523, 5.06558]","[-0.232777, -0.20091, -0.202548]","[0.323024, 0.349446, 0.370721]","[-0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:53
14,"[4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 5.2063, 5.06558, 5.13594, 5.2063]","[-0.161698, -0.195133, -0.197476, -0.196671, -0.197189, -0.197758, -0.165526, -0.200037, -0.200956, -0.267614, -0.236025, -0.22792, -0.234085, -0.270184]","[0.243374, 0.257592, 0.298824, 0.285423, 0.294134, 0.303359, 0.323007, 0.33743, 0.350061, 0.331896, 0.36121, 0.253163, 0.33903, 0.35786]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:54
