numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
8,"[6.05056, 6.12091, 6.19127, 6.26163, 6.05056, 6.12091, 6.19127, 6.26163]","[-0.130333, -0.165335, -0.169326, -0.136834, -0.164117, -0.167215, -0.172413, -0.178396]","[0.27728, 0.319563, 0.383934, 0.411878, 0.296534, 0.351686, 0.425675, 0.493833]","[0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:14:08
7,"[6.05056, 6.12091, 6.19127, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.174658, -0.173, -0.171952, -0.166537, -0.170882, -0.169909, -0.169174]","[0.452932, 0.433021, 0.419788, 0.340528, 0.405674, 0.392253, 0.381721]","[0, 0, 0, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:09
0,"[]","[]","[]","[]","[0.59802, -1.88308, 1.05895, -2.0367]","[1.02823, 2.07058, 2.74131, 2.37153]","[0.12502, -0.294165, 0.308874, -0.837628]","[0, 0, 0, 0]",28/06/2025 12:14:10
0,"[]","[]","[]","[]","[-1.88308, 1.05895]","[2.07058, 2.74131]","[-0.294165, 0.308874]","[0, 0]",28/06/2025 12:14:11
2,"[6.05056, 6.12091]","[-0.135495, -0.136321]","[0.388785, 0.403229]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:12
6,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.131915, -0.133705, -0.135034, -0.167607, -0.169471, -0.172416]","[0.316481, 0.354894, 0.380406, 0.357948, 0.386025, 0.425718]","[0, 0, 0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:14:13
8,"[6.12091, 6.19127, 6.12091, 6.19127, 6.12091, 6.05056, 6.12091, 6.19127]","[-0.168937, -0.170329, -0.137325, -0.136961, -0.13885, -0.199396, -0.200537, -0.16982]","[0.378239, 0.398121, 0.41993, 0.413969, 0.443744, 0.32827, 0.344383, 0.390993]","[0, 0, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:14
13,"[6.05056, 6.12091, 2.18102, 6.12091, 2.11066, 2.18102, 6.12091, 6.19127, 6.26163, 6.05056, 6.12091, 6.19127, 6.26163]","[-0.165361, -0.168343, 0.285116, -0.212334, 0.285099, 0.317825, -0.165928, -0.169315, -0.139099, -0.164232, -0.165307, -0.168523, -0.14007]","[0.320033, 0.369346, -0.0115725, 0.474082, 0.00423804, -0.00314736, 0.330103, 0.383769, 0.447472, 0.298805, 0.319059, 0.372071, 0.461606]","[0, 0, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:15
0,"[]","[]","[]","[]","[1.05895]","[2.74131]","[0.308874]","[0]",28/06/2025 12:14:16
4,"[6.12091, 6.05056, 6.12091, 6.19127]","[-0.166731, -0.20132, -0.202332, -0.202597]","[0.343752, 0.354917, 0.368008, 0.37133]","[0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:14:17
