create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x,y,z
1751123649.046247,d500a44f-2051-d64b-3d63-8985cc792954,27e805c6-b9e7-093b-bede-c999c6e9a5be,26,-75.0,-85.0,,,-2.8079720722489507,-1.7964278564618978,,,0.42998666591119605,0.33547733725284556,,,-1.696728229522705,7.765716552734375,0.832677185535431
1751123650.045549,d500a44f-2051-d64b-3d63-8985cc792954,7cd2e0f3-bb63-06c0-b9c0-8adfc13fe043,8,-76.0,-89.0,,,-2.7695895293542927,-1.969051561475853,,,0.39670371031938995,0.2104310883369401,,,-1.7616358995437622,7.466603755950928,0.851413071155548
1751123651.003524,d500a44f-2051-d64b-3d63-8985cc792954,c931d9d0-f17d-9e2b-8af0-c285408aeaf9,25,-75.0,-83.0,,,-2.9059348550508615,-2.1888438441367466,,,0.3725659833318886,0.1640276035816678,,,-1.83145797252655,7.194870948791504,0.8079943656921387
1751123652.037916,d500a44f-2051-d64b-3d63-8985cc792954,097d85a9-d2a9-78a3-1340-0a4001a172ac,6,-70.0,-80.0,,,-3.0111241254707024,-2.177666290725575,,,0.5781284636562708,0.19001747588353518,,,,,
1751123653.045109,d500a44f-2051-d64b-3d63-8985cc792954,f86d8c1e-6019-c7bb-a608-c6a956ccceb6,8,-70.0,-81.0,-61.0,-87.0,-3.016057897706183,-2.1270726216006857,2.604872483300674,-2.362915243519269,0.6478818457695718,0.2536076707336338,0.5156759046448267,0.5729230489896021,-1.894614577293396,6.889556884765625,0.808066964149475
1751123654.044803,d500a44f-2051-d64b-3d63-8985cc792954,1eb3543b-5d70-7f10-98ef-8d9208451b76,27,-78.0,-88.0,-63.0,-79.0,-3.064352193545898,-2.150206703041877,2.653951879029744,-2.377011088852949,0.5916399448677606,0.27264619324768996,0.4933226953247603,0.594386130004823,,,
1751123655.004922,d500a44f-2051-d64b-3d63-8985cc792954,ce730b3d-1cc4-a164-5ad5-96105f5ff1de,15,-72.0,-78.0,-61.0,-77.0,-3.032800658847293,-2.1240121168759667,2.640402248035639,-2.3991392943504177,0.6566250702073291,0.23087106608513683,0.41122383050423345,0.5508418149958598,-1.964746117591858,6.584696292877197,0.8324497938156128
1751123656.056342,d500a44f-2051-d64b-3d63-8985cc792954,036e9d00-49f5-7ecf-9ccc-623a79089746,11,,,-62.0,,,,2.604235987800145,,,,0.3852646677786862,,,,
1751123657.036933,d500a44f-2051-d64b-3d63-8985cc792954,8481d18b-08a1-8a5a-192c-5f5de3743e9c,19,-74.0,-83.0,-61.0,-74.0,-2.9786018685547635,-2.170884684167743,2.6011009145649036,-2.24296913118319,0.5929327764189395,0.26979551232735555,0.3417321705470602,0.3173787608007761,-2.053356647491455,6.316840171813965,0.741536855697632
1751123658.055357,d500a44f-2051-d64b-3d63-8985cc792954,3cf2bf49-bd01-807f-c42a-a8e14a1d7af2,29,,,-64.0,,,,2.6137386792017656,,,,0.27563442643832703,,,,
1751123659.005805,d500a44f-2051-d64b-3d63-8985cc792954,15c6b188-e8e1-630c-a792-37be6342d774,34,-80.0,-89.0,-62.0,,-3.056402125059793,-2.1571080186907086,2.69675899775946,,0.5428177439209646,0.20815986133553646,0.33227701657089737,,-2.175808906555176,6.15825891494751,0.6283260583877563
1751123660.0386,d500a44f-2051-d64b-3d63-8985cc792954,f628253b-00bb-df68-0e02-4e2da9aeb670,14,-76.0,-84.0,-61.0,,-3.047287988861215,-2.0691198394355803,2.6928500099114414,,0.5777075510459838,0.2769592492121006,0.3435459164074587,,-2.289433717727661,5.996323108673096,0.5553579926490784
1751123661.045655,d500a44f-2051-d64b-3d63-8985cc792954,1279e8f5-6503-6504-3201-e1c55be6d1e7,11,-69.0,-80.0,-60.0,,3.111730095654517,-2.038139153316634,2.693270789363674,,0.5460755888824587,0.27298033674071087,0.30634465190381893,,-2.4339613914489746,5.88135528564453,0.4483424127101898
1751123662.039974,d500a44f-2051-d64b-3d63-8985cc792954,f62a6cf9-5e50-a490-97da-2c636a28d676,16,-69.0,,-58.0,,3.065013456444565,,2.733589983003038,,0.5612984174104333,,0.32434033046927047,,-2.761596202850342,5.773064613342285,0.31689780950546265
1751123662.990198,d500a44f-2051-d64b-3d63-8985cc792954,f33c59dc-e0a6-52ac-adac-d70828c73912,20,-76.0,,-62.0,-75.0,3.0762866173388703,,2.7107544419200442,-2.397714503167225,0.6287803228509783,,0.3667786679670374,0.3429505001667442,,,
1751123664.005841,d500a44f-2051-d64b-3d63-8985cc792954,9921aff9-ad10-0660-f77a-5cae2cd0d972,36,-82.0,,-66.0,-81.0,3.0186190597265123,,2.710080662164254,-2.2195578146725214,0.81250175302243,,0.40218163294460113,0.33309580544804224,,,
1751123664.990704,d500a44f-2051-d64b-3d63-8985cc792954,87eaa507-5abc-2784-cda8-96f8c6d2d30e,31,-80.0,,-62.0,-92.0,3.067071547334978,,2.7348272876454884,-2.2751481066346173,0.8063664290821325,,0.430620231934526,0.32044618974432937,-3.1444716453552246,6.003222465515137,0.1906082034111023
1751123666.055285,d500a44f-2051-d64b-3d63-8985cc792954,6c94ad1c-92ac-0047-8d26-a6ef3d292287,17,-76.0,,-59.0,-81.0,3.0766413503960686,,2.6448262912384783,-2.336644490946182,0.7478876726017366,,0.4047324419261927,0.31954520905804196,-3.5621743202209473,6.24818992614746,0.0786786749958992
