numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
18,"[4.71381, 4.64345, 4.71381, 4.78416, 4.85452, 4.92487, 4.71381, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487]","[0, 0, 0, 0, 0.0325687, 0.0331859, 0, 0, 0.0330491, 0.0331062, -0.0650223, -0.0649353, -0.0659836, -0.0659837, -0.0655333, -0.0676591, -0.0674885, -0.0672786]","[0.357327, 0.457063, 0.398961, 0.299624, 0.284934, 0.34274, 0.430166, 0.34859, 0.330948, 0.335925, 0.276977, 0.272233, 0.32424, 0.324246, 0.303162, 0.391198, 0.385031, 0.37727]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:01
5,"[4.71381, 4.78416, 4.78416, 4.78416, 4.92487]","[-0.0686975, -0.0689264, -0.0682594, -0.0671032, 0]","[0.426302, 0.433543, 0.411962, 0.370627, 0.312047]","[0.147187, 0.147187, 0.294373, 0.44156, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:02
12,"[4.78416, 4.85452, 4.92487, 4.99523, 4.99523, 5.06558, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487]","[-0.0692824, -0.0701568, -0.111725, 0.0319758, -0.535656, 0.0329738, -0.0664813, -0.0675611, -0.0695386, -0.0680618, -0.0687808, -0.070458]","[0.444497, 0.469944, 0.571927, 0.212689, -0.831883, 0.324236, 0.345793, 0.38767, 0.452158, 0.405279, 0.428957, 0.47828]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:03
4,"[4.92487, 4.85452, 4.85452, 4.92487]","[-0.0323091, -0.0338832, 0, -0.0326361]","[0.25609, 0.396383, 0.347633, 0.291905]","[0, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:04
6,"[4.92487, 4.85452, 4.92487, 4.99523, 4.85452, 4.92487]","[0, 0, 0, -0.0324441, 0, 0]","[0.23093, 0.262139, 0.276315, 0.271517, 0.188037, 0.225651]","[0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:05
5,"[4.85452, 4.92487, 4.99523, 4.85452, 4.92487]","[0, 0, 0, 0, 0]","[0.392601, 0.386783, 0.379991, 0.321204, 0.318185]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:06
12,"[4.78416, 4.85452, 4.92487, 4.99523, 4.85452, 4.92487, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.99523]","[-0.0344048, -0.0338674, -0.0333329, -0.0324103, 0, 0, -0.0329255, -0.0324379, 0, -0.0333851, -0.0329582, 0]","[0.431157, 0.395273, 0.354887, 0.26775, 0.452661, 0.449823, 0.319849, 0.270837, 0.390657, 0.359083, 0.322823, 0.288885]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:07
9,"[4.85452, 4.92487, 4.99523, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.99523]","[-0.0347342, 0, 0, 0, 0, -0.0349363, 0.0363798, 0.034677, 0.0345752]","[0.451326, 0.463168, 0.450204, 0.276034, 0.302336, 0.46311, 0.537126, 0.44791, 0.441744]","[0, 0, 0, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:08
3,"[4.85452, 4.78416, 4.85452]","[0, 0, 0]","[0.350061, 0.363397, 0.355378]","[0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:09
10,"[4.78416, 4.85452, 4.92487, 4.85452, 4.92487, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487]","[0, 0, 0, -0.0335641, 0, 0, 0, -0.0325249, 0, 0]","[0.302888, 0.321818, 0.342703, 0.373027, 0.381721, 0.270957, 0.303765, 0.280307, 0.296023, 0.313914]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:10
