create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x,y,z
1755133399.215613,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,b8438421-90dd-a280-25f1-d33e5af43eaf,22,-75.0,-82.0,NaN,-76.0,0.8676485620840005,-0.8996991731708862,NaN,-1.5320393434509734,0.2584458021964672,0.3803099564391346,NaN,0.9702285338468091,-3.366485834121704,5.440664291381836,0.448512852191925
1755133400.243167,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,ed2c00a1-a59e-fc63-3ae0-61b33fa4c0bd,2,-76.0,-83.0,NaN,-81.0,0.8720411799859772,-0.9116984449364017,NaN,-1.6758702823395368,0.29863187107084044,0.3186208258436754,NaN,0.9732830464590753,-3.555393695831299,5.598645210266113,0.3463580906391144
1755133401.243828,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,9a03372f-deb1-b8ad-7cb6-15aed85e3133,11,-75.0,-80.0,-52.0,-79.0,0.855602551841354,-0.9073075580891335,1.781920020107582,-1.5252337684433301,0.30121017719068705,0.3455876621466816,0.42233021093527273,0.9996538007310944,-3.8684005737304688,5.76923131942749,0.38125085830688477
1755133402.242157,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,548b6ba6-f241-71a4-785f-24adb9864e9a,32,-75.0,-97.0,-58.0,-80.0,0.856808697499051,-0.943317224452531,1.7556804265192496,-1.5867308185451674,0.3820120159813179,0.2582573336150736,0.5057829269854549,1.0007854444572963,-4.010793209075928,6.03994083404541,0.335140734910965
1755133403.244082,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,2d4559fc-67fb-48ec-c54f-84a0537226b5,10,-78.0,-94.0,-53.0,-78.0,0.8680054256700711,-0.9746755468140504,1.7524643931868698,-1.6491057797003494,0.3715355397271097,0.2737915688982626,0.5610996124350589,0.9357648990752299,-4.078439235687256,6.292613983154297,0.286383718252182
1755133404.242864,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,8e7a0b22-d844-b312-9293-4330ffe3e499,13,-79.0,-89.0,-54.0,-81.0,0.8652000517777817,-1.0430335656742042,1.784296625064369,-1.640277134370628,0.3323423638861452,0.23491565876691062,0.6639053536792788,0.9038052349395703,-4.174267768859863,6.503314971923828,0.1667545586824417
1755133405.215621,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,77a134f8-0407-1699-7f3e-e40616df6f63,4,-81.0,NaN,-53.0,-80.0,0.8566345267637598,NaN,1.7372881033989445,-1.5171729124558786,0.37558857130058765,NaN,0.6149721654940538,0.8813131084791426,-4.114032745361328,6.589179039001465,-0.640029788017273
1755133406.214991,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,fc8b9368-839a-4a8f-6ccb-1ef51aaa002c,15,-78.0,-83.0,-55.0,-78.0,0.9006326111329588,-1.1040849357676168,1.7261656774223373,-1.2487630261989344,0.38523573919134524,0.18625191590497445,0.7137602619177801,0.8390623241011446,-3.7525458335876465,6.552016258239746,-1.4088280200958252
1755133407.215828,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,f6be7189-9c48-a198-4775-b2453221cb15,19,-76.0,-91.0,-53.0,-91.0,0.9336371665223109,-1.0766222854486651,1.7266461116829876,-1.2705464854932917,0.3673846369835714,0.1766996564175646,0.7968638708385664,0.6651497156986182,-3.295382022857666,6.42185926437378,-2.0128047466278076
1755133408.24505,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,a8ed7361-38a4-f2a6-0c54-bae0d8474c00,34,-72.0,NaN,-59.0,-84.0,0.9161737539902253,NaN,1.7491498228941573,-1.3589519820912355,0.4038227060978216,NaN,0.7581556233425917,0.7535990212964935,-2.8808066844940186,6.33853006362915,-2.697421073913574
1755133409.244273,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,d155dfd4-931c-8b03-602b-88ee7fcfb455,23,-73.0,-82.0,-54.0,NaN,0.9428548996872932,-0.9153139524322934,1.7664374667942977,NaN,0.42285968064949414,0.19658559679048399,0.8125505554494056,NaN,-2.6465542316436768,6.348506450653076,-3.6881213188171387
1755133410.216003,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,7de8ea48-9b40-cf75-bb80-5e602e12a5ba,7,-80.0,-87.0,-54.0,-83.0,0.9393605660210002,-0.8631137313798136,1.7624224851348942,-1.3660173484632157,0.4536068075408405,0.14765222551293408,0.745268253932562,0.6885863988186698,-2.185330867767334,6.19490098953247,-4.436368465423584
1755133411.244157,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,1664d9aa-cc12-2aa8-c5de-8be60db29884,28,-75.0,-83.0,-56.0,-81.0,0.9477127718317067,-0.8839369879431432,1.7314398016451302,-1.5840321042545356,0.4733386341104283,0.10842213160135837,0.752014640184978,0.481157675070901,-1.8662165403366089,6.078199863433838,-5.192999839782715
1755133412.214768,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,25e99e63-e03b-c344-653d-d9f43ab8b96d,25,-77.0,-81.0,-56.0,-87.0,0.8908369720114294,-0.8365963700897855,1.7224798624736675,-1.4629277831603815,0.38141959579682977,0.1363117116101849,0.8343023897058187,0.513445007889181,-1.4985175132751465,5.9333295822143555,-5.7746124267578125
1755133413.245076,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,39d8d9af-40ea-090d-dce1-74235a3c04fa,2,-84.0,-94.0,-53.0,-79.0,1.0812146404323977,-0.8105629051698251,1.7365227109016554,-1.4676937762471873,0.4216112905990059,0.16366719466239604,0.7897515662523735,0.5449439451562567,-1.650225043296814,5.764130592346191,-6.27817153930664
1755133414.244656,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,a54be37d-b7b8-4225-703e-8a5e34c7142c,8,-80.0,-87.0,-54.0,-80.0,1.0476870402049543,-0.8406805939375311,1.7073616295975058,-1.4487489803587452,0.4015900117084401,0.2050273513928444,0.6664165148501416,0.5417686914780688,-1.750909686088562,5.641932487487793,-6.3230180740356445
1755133415.244941,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,23f2d9f1-e367-92b0-4edf-cfdebb6264ee,24,-75.0,NaN,-55.0,-81.0,1.0364951057238962,NaN,1.6905954326388029,-1.6347516077409314,0.4486848530826969,NaN,0.7483762295037117,0.536162204751234,-1.9060235023498535,5.677301406860352,-5.5656280517578125
1755133416.246503,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,6a869383-9098-3916-3864-3679ab22dc21,27,-74.0,-95.0,-57.0,-82.0,1.0268225046447284,-0.8455387323980535,1.6820674581961514,-1.7878463524813355,0.5115410807363697,0.18687554500848694,0.7185620079422201,0.7453462845525013,NaN,NaN,NaN
1755133417.216559,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,6e9fa136-0465-5fe0-5234-d817d7324280,35,-79.0,-88.0,-60.0,-88.0,0.9698218025693265,-0.8574023161060296,1.7072859958225475,-1.9117055805651224,0.47953471141309306,0.0914914428334511,0.8076561314190308,0.7698275926101364,-2.2992587089538574,5.821775913238525,-4.92342710494995
