numObj,x,y,z,velocity,timestamp
3,"[6.12504, 6.14912, 6.1772]","[0.391352, 0.195676, 0.197874]","[1.24045, 1.16531, 1.37733]","[0, -0.147187, -0.147187]",21/10/2025 19:10:09
3,"[5.80954, 5.85739, 5.93764]","[0.56724, 0.573836, 0.580432]","[1.59273, 1.68146, 1.65509]","[-0.147187, -0.147187, -0.147187]",21/10/2025 19:10:11
14,"[5.90287, 6.19454, 6.25977, 6.2575, 6.17197, 6.20914, 6.26503, 6.21165, 5.85721, 5.95497, 6.01191, 5.83096, 5.92873, 6.0442]","[0.193477, 0.600219, 0.606815, 0.817881, 0.600219, 0.809087, 0.817881, 0.809086, 0.191279, 0.193477, 0.391352, 0.191279, 0.386954, 0.391352]","[1.85755, 1.50246, 1.53062, 1.72807, 1.59263, 1.63942, 1.70057, 1.6299, 1.76693, 1.68305, 1.70638, 1.85174, 1.74132, 1.58821]","[0, 0.735933, 0.735933, 0.735933, 0.883119, 0.883119, 0.883119, 1.03031, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:10:13
2,"[6.07331, 6.1497]","[0.391352, 0.200073]","[1.473, 1.76947]","[0.147187, 0.44156]",21/10/2025 19:10:14
8,"[5.75553, 5.71334, 5.74062, 6.23618, 5.81459, 5.80645, 5.8904, 6.01137]","[0.18908, 0.191279, 0.386954, 0.606815, 0.18908, 0.191279, 0.386954, 0.391352]","[1.85671, 2.18787, 2.28636, 1.62406, 1.66254, 1.92721, 1.86688, 1.70829]","[0, 0, 0, 0.44156, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:10:15
3,"[6.17815, 6.1775, 5.75434]","[0.195676, 0.195676, 0.573836]","[1.00007, 1.00405, 2.00595]","[0, 0.147187, -0.147187]",21/10/2025 19:10:16
9,"[6.01211, 6.05653, 5.96467, 6.00612, 5.96555, 5.89732, 5.91782, 6.057, 6.08017]","[0.580432, 0.587027, 0.386954, 0.391352, 0.395749, 0.386954, 0.391352, 0.193477, 0.391352]","[1.35993, 1.4771, 1.61393, 1.72666, 2.08558, 1.8449, 2.00854, 1.26774, 1.44442]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]",21/10/2025 19:10:17
19,"[5.93375, 5.9939, 6.07865, 6.36248, 6.36863, 6.05796, 6.20786, 6.23748, 6.2592, 6.16049, 6.20097, 5.99747, 6.07302, 6.15461, 6.19385, 5.93931, 6.03374, 6.12917, 6.19142]","[0.386954, 0.587027, 0.593623, 0, 0.202272, 0.395749, 0.200073, 0.404543, 0.40894, 0.200073, 0.202272, 0.580432, 0.587027, 0.593623, 0.800292, 0.580432, 0.587027, 0.593623, 0.800292]","[1.72415, 1.71361, 1.67082, 0.713292, 1.13814, 1.79957, 1.55318, 1.68104, 1.86191, 1.73155, 1.84466, 1.42312, 1.40776, 1.3647, 1.40915, 1.64911, 1.56758, 1.47472, 1.41977]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:10:18
9,"[5.9106, 6.01863, 5.88594, 5.96664, 6.02519, 5.98984, 5.7953, 5.92748, 6.02236]","[0.193477, 0.391352, 0.580432, 0.587027, 0.395749, 0.193477, 0.191279, 0.193477, 0.195676]","[1.83281, 1.68252, 1.83047, 1.80626, 1.90643, 1.55442, 1.96048, 1.77745, 1.70317]","[0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:10:19
13,"[5.90313, 6.0316, 5.88537, 5.95263, 6.01559, 5.84342, 5.91074, 6.0329, 5.86366, 6.01408, 5.96119, 5.72406, 5.88177]","[0.382557, 0.386954, 0.382557, 0.386954, 0.391352, 0.382557, 0.386954, 0.782703, 0.791498, 0.580432, 0.587027, 0.593623, 0.600219]","[1.57237, 1.34232, 1.63757, 1.65778, 1.69338, 1.7815, 1.80145, 1.48305, 2.25501, 1.3512, 1.82417, 2.64134, 2.4565]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:10:20
