numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
17,"[1.21772, 1.26031, 1.13592, 1.17532, 1.18886, 1.47349, 1.47295, 1.50284, 1.3348, 1.14874, 1.5781, 1.47802, 1.50828, 1.50625, 1.59087, 1.46236, 1.46956]","[2.37449, 2.524, 2.6779, 2.74166, 2.80542, 2.28655, 2.43386, 2.49322, 2.64712, 2.80542, 2.28655, 2.43386, 2.49322, 2.55258, 2.61194, 2.43386, 2.49322]","[0.893725, 0.601481, 0.519735, 0.504222, 0.546979, 0.721341, 0.47697, 0.506876, 0.602808, 0.626872, 0.448425, 0.46104, 0.490454, 0.606515, 0.479412, 0.508528, 0.596515]","[-0.588746, -0.588746, -0.588746, -0.588746, -0.588746, -0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:21
11,"[1.06564, 1.33354, 1.37613, 1.11878, 1.20211, 1.29265, 1.33768, 1.17343, 1.15683, 1.24573, 1.29899]","[2.27775, 2.25577, 2.31513, 2.13704, 2.19641, 2.25577, 2.31513, 2.46244, 2.19641, 2.25577, 2.31513]","[0.672767, 0.529915, 0.524578, 0.772279, 0.71211, 0.623044, 0.616062, 0.692295, 0.783527, 0.712234, 0.69395]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.298677, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062702, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, -0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:22
19,"[1.03712, 1.05737, 1.36921, 1.47218, 1.51043, 1.54571, 1.59846, 1.50787, 1.54142, 1.07514, 1.36226, 1.38331, 1.19593, 0.745942, 1.07584, 1.05202, 1.34824, 1.38051, 1.17389]","[2.33932, 2.40088, 2.524, 2.31513, 2.37449, 2.43386, 2.22938, 2.37449, 2.43386, 2.33931, 2.46244, 2.524, 2.6779, 2.3591, 2.33931, 2.40088, 2.46244, 2.524, 2.6779]","[0.774342, 0.804062, 0.274638, -0.0402737, 0.0135749, 0.0886346, 0.0593962, 0.0889426, 0.145268, 0.720619, -0.021148, 0.191363, 0.360811, 0.809063, 0.719577, 0.811056, -0.196058, 0.210654, 0.427085]","[0, 0, 0, -0.588746, -0.588746, -0.588746, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:23
5,"[1.13367, 1.14255, 1.15714, 1.15743, 1.18168]","[2.48662, 2.55038, 2.61414, 2.48662, 2.55038]","[0.245486, 0.331573, 0.384751, 0.0763822, 0.137765]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:24
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:25
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.298677, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062702, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:26
0,"[]","[]","[]","[]",6,"[-0.168143, -0.0589794, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:27
7,"[0.960629, 1.01829, 1.03083, 0.846866, 0.9852, 1.01077, 1.0466]","[2.29534, 2.3591, 2.29534, 2.44045, 2.23158, 2.29534, 2.3591]","[0.472895, 0.417244, 0.28954, 0.321552, 0.336172, 0.353239, 0.340051]","[0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:28
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.298677, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062702, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.162239, -0.0475768, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:29
7,"[1.37347, 1.28722, 0.688262, 0.696937, 1.18151, 1.23763, 1.25486]","[2.19641, 2.33932, 2.79443, 2.86258, 2.21619, 2.27775, 2.33931]","[0.256454, 0.135239, 0.195487, 0.226883, 0.327944, 0.237641, 0.317096]","[0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",6,"[-0.0589794, -0.0596558, -0.413831, -0.298677, -0.476058, -0]","[0.0899548, 0.0707165, 0.421401, 0.062702, 0.0421769, -0]","[0.0381937, -0.0843408, -0.239477, 0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:30
