Unnamed: 0,CreateTime,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Azim_1,Azim_2,Azim_3,Azim_4,Elev_1,Elev_2,Elev_3,Elev_4,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real,Real_Dist_1,Real_Dist_2,Real_Dist_3,Real_Dist_4,Dest_RSSI_1,Dest_RSSI_2,Dest_RSSI_3,Dest_RSSI_4,X_est_MLT,Y_est_MLT,X_est_TRIG,Y_est_TRIG,X_est_TRIANG,Y_est_TRIANG,Dest_MLT_1,Dest_MLT_2,Dest_MLT_3,Dest_MLT_4,X_est_MLT_KF,Y_est_MLT_KF,X_est_TRIG_KF,Y_est_TRIG_KF,X_est_TRIANG_KF,Y_est_TRIANG_KF,X_est_FUSAO,Y_est_FUSAO,numObj,x,y,z,timestamp,centroid_xyz,real_xyz
0,2024-10-14 19:35:13,231939e5-3158-3124-460c-a6a80d722c7a,29,-59.0,-83.0,-75.0,-72.0,2.5221126218975893,-1.4593385078012278,0.2295511701593799,-1.0870913048518211,0.3476198205059801,0.2519304951028859,0.2119846932931082,0.1580472922615699,,,,,,,,,,,1.4258642780441897,11.773067806686525,5.961766053683409,4.201215216834319,-1.3159980813728829,7.747300574717332,-1.1755284311396998,7.550846857452538,-0.2475134572195674,8.407523148861893,0.3302680259037024,6.549418902303937,4.402108524822019,3.820295269099789,-0.91301332324405,,-0.91301332324405,7.9018901936772545,-0.91301332324405,7.9018901936772545,-0.91301332324405,7.9018901936772545,16,"[2.61317, 2.68353, 2.75388, 2.82424, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.89459, 2.68353, 2.75388, 2.82424, 2.54282, 2.61317, 2.68353]","[-6.7823, -7.335071, -7.336064, -7.334261000000001, -6.9507460000000005, -6.77696, -7.2918840000000005, -7.334280000000001, -7.295774, -7.213535, -7.293538, -7.296337, -7.292605, -6.961418, -6.82162, -7.2646250000000006]","[2.046269, 1.7878128, 1.7631569, 1.803629, 1.91133, 2.05474, 1.880093, 1.803278, 1.83894, 2.088672, 1.8639329999999998, 1.8318729999999999, 1.8732469999999999, 1.863796, 1.9710779999999999, 1.6691137]",2024-10-14 19:35:13,"[2.71, -7.16, 1.88]","[2.308, -6.865, 1.78]"
1,2024-10-14 19:35:14,beda3b4c-2c09-258d-c080-61fc18fe5fc6,36,-58.0,-77.0,-86.0,-73.0,2.515963915572814,-1.3577775280505104,0.2003381572139737,-0.9404260967731408,0.3074167074006303,0.3556194903673874,0.2146772323789624,0.2101312829772244,,,,,,,,,,,1.2791114233934036,7.162461609883263,14.975279258081772,4.5534436327619,-0.5392395583000634,7.700467735241221,-0.6578460415348784,7.505158513244323,0.0,8.24587654909068,0.4724678456619792,6.51009186877503,5.179805288977428,4.28214203665423,-0.7788381255718496,,-0.6748571936488231,7.531607291939852,-0.0883561280558757,8.212587546953896,-0.4402567674116442,7.803999393945469,17,"[2.47246, 2.54282, 2.61317, 2.68353, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.47246, 2.54282, 2.61317, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388]","[-7.337114000000001, -7.37218, -7.372151000000001, -7.370014, -7.296801, -7.336198, -7.371838, -7.371634, -7.369637, -7.335682, -7.336007, -7.370834, -7.336157, -7.336945, -7.337074, -7.264763, -7.264776]","[1.70647667, 1.6960905099999999, 1.7115386, 1.7942308, 1.825737, 1.7590535, 1.7376688999999998, 1.7474844999999999, 1.802058, 1.7736345999999998, 1.7648283, 1.7743682, 1.760335, 1.726038, 1.6861072, 1.7227046, 1.7217512]",2024-10-14 19:35:14,"[2.57, -7.34, 1.75]","[2.308, -6.865, 1.78]"
2,2024-10-14 19:35:15,57835e85-59e4-6299-5982-115a3e07c070,34,-60.0,-82.0,-74.0,-75.0,2.545093038943884,-1.2964009859879997,0.1969982868909053,-0.9347261330920444,0.2244402477771384,0.4788807389179104,0.2267696981378739,0.2272912116583386,,,,,,,,,,,1.5894541337210626,10.837233287795112,5.482912225965854,5.348968430783272,-0.4594852269712813,8.772206332514322,-0.4434519011218932,7.82399980537514,0.0,8.302365706249466,1.0881065703722377,7.584782408914679,5.338475415229037,5.15279356061855,-0.5881421815252705,,-0.4539554560470515,7.7935235082282786,0.0203322161061771,8.304455018919578,-0.2701074157161079,7.989701421614508,25,"[2.54282, 2.54282, 2.61317, 2.68353, 2.61317, 2.68353, 2.75388, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.75388, 2.82424]","[-6.69873, -7.228143, -7.217674000000001, -7.2628710000000005, -7.336931, -7.337046, -7.372132000000001, -7.216197, -7.215801, -7.1084890000000005, -7.3721820000000005, -7.336005, -7.249861, -7.250796, -7.214508, -7.2072400000000005, -7.406636, -7.336823, -7.2885100000000005, -7.246265, -7.253417000000001, -7.259835, -6.848568, -7.295826, -6.953782]","[1.336271, 2.032564, 1.869454, 1.7807990999999999, 1.7269989, 1.7172138, 1.7144884, 1.881422, 1.884493, 2.012251, 1.70228735, 1.7648968, 1.916524, 1.909857, 1.894152, 1.940792, 1.69103801, 1.6662934999999999, 1.908995, 1.940297, 1.889799, 1.826882, 1.896874, 1.319684, 2.049913]",2024-10-14 19:35:15,"[2.64, -7.22, 1.81]","[2.308, -6.865, 1.78]"
4,2024-10-14 19:35:17,bbfbe379-8f94-5814-5e92-760897de9b68,4,-54.0,,-73.0,-70.0,2.4919054509172565,,0.2648460440862,-0.9069773261139636,0.2540411334905578,,0.0998868417880873,0.2404596444319126,,,,,,,,,,,0.8283790983263641,,5.04252032148631,3.576389901436631,-0.7403367025122384,6.919426652762172,-1.292601466538854,7.081525500044301,-1.8855709887336567,6.892507907074316,0.9406999959152036,5.718878900501882,5.062184878525602,3.604062884977008,-0.8296518963718899,,-1.2354252176732563,7.108931653976455,-1.6939942741057683,7.024507624352287,-1.4111046234615785,7.076901401264707,25,"[2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.68353, 2.75388, 5.5681]","[-7.135424, -7.180971, -7.224799, -7.264678, -7.149509, -7.132052, -7.137904, -7.183619, -7.227373, -7.227223, -7.186227000000001, -7.131665, -7.1798, -7.222666, -7.264566, -7.2649170000000005, -7.2643640000000005, -7.221807, -7.260834, -7.300842, -7.301148, -7.300987, -7.299117, -7.298434, -6.63856]","[1.887998, 1.849222, 1.7904377, 1.7280404999999999, 1.7299402, 1.908297, 1.871403, 1.823439, 1.7254692, 1.7329765, 1.7908848, 1.910486, 1.859242, 1.819895, 1.7337905999999998, 1.70480368, 1.742264, 1.829836, 1.813847, 1.7440096, 1.7296132, 1.7378670999999999, 1.7887845, 1.801129, 1.912188]",2024-10-14 19:35:17,"[2.77, -7.2, 1.8]","[2.308, -6.865, 1.78]"
5,2024-10-14 19:35:18,107a1c32-5458-d9d6-06b1-1b917e612f36,28,-64.0,,-81.0,-77.0,2.517602292275431,,0.288604903119124,-0.940800537222406,0.4482966973538179,,0.0765672045979447,0.1978118992486813,,,,,,,,,,,2.454297728552155,,9.852733772417333,6.283478084071884,0.0,8.648856166675992,-0.6688525434320945,7.342314451312215,-2.0174615966429887,6.843470349673542,1.2918064806193148,7.508409146938308,5.77309856354191,5.345163477459133,-0.3130346274550873,,-0.7382162835536253,7.304028550895803,-2.0762718210436635,6.79465159619144,-1.2725698631494975,7.098730997653338,8,"[2.47246, 2.54282, 2.61317, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388]","[-7.294926, -7.2966940000000005, -7.298031, -7.335529, -7.30093, -7.300938, -7.2604500000000005, -7.259998]","[1.84894, 1.827178, 1.807728, 1.7774391, 1.7403754999999999, 1.6599522, 1.580969, 1.5751549999999999]",2024-10-14 19:35:18,"[2.59, -7.29, 1.73]","[2.308, -6.865, 1.78]"
6,2024-10-14 19:35:19,7bc1bf4b-8805-9cf4-7c67-aa6406376a2d,11,-58.0,,,-68.0,2.474878796803944,,,-0.927090583930678,0.4633641637217,,,0.2099324613570932,,,,,,,,,,,1.2791114233934036,,,3.0444916689452066,,,,,,,,,,,,,,,,,,,25,"[2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.61317, 2.68353, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388]","[-7.025112, -7.018688, -7.05665, -7.168338, -7.223206, -7.224838, -7.3363130000000005, -7.336576, -7.220239, -7.258697, -7.259661, -7.297364, -7.334181, -7.089715, -7.177096000000001, -7.217143, -7.255682, -7.257707, -7.263310000000001, -7.080834, -7.127569, -7.171428000000001, -7.214599, -7.221718, -7.225964]","[1.989156, 2.009258, 2.0352959999999998, 1.9346269999999999, 1.813185, 1.7898096, 1.755277, 1.7454467999999999, 1.846198, 1.840226, 1.829014, 1.817842, 1.805047, 1.90865, 1.880144, 1.873856, 1.870403, 1.8508369999999998, 1.7716601, 1.950304, 1.9322949999999999, 1.917125, 1.89349, 1.830824, 1.7691321]",2024-10-14 19:35:19,"[2.59, -7.2, 1.87]","[2.308, -6.865, 1.78]"
7,2024-10-14 19:35:20,c96a487c-03ab-49b4-2605-4a2ea7f064b1,4,-57.0,,-81.0,-66.0,2.380295565425344,,0.2870541444163708,-1.0093444447266475,0.5522390757512835,,0.1066478338146066,0.214957729820775,,,,,,,,,,,1.1474626713418463,,9.852733772417333,2.591699948194533,-0.223373607886168,5.590179423285501,-1.4736900469350511,6.6322392326158335,-2.1510497175561185,6.775643224082772,2.3642821953212643,4.450701657114915,5.93874207307054,3.436771771776764,-0.4125518452672977,,-1.4102300846232023,6.687315935596254,-1.922756724454458,6.925555990193268,-1.607378738166238,6.784512489325685,21,"[2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.68353, 2.47246, 2.54282, 2.61317]","[-7.088891, -7.093216, -7.100894, -7.147804, -7.227073, -7.186536, -7.082561, -7.0869670000000005, -7.095586, -7.143751, -7.1872940000000005, -7.147611, -7.077335, -7.082398, -7.093549, -7.100622, -7.099699, -7.335717, -7.089213, -7.0866050000000005, -7.083533]","[1.9129049999999999, 1.889389, 1.837095, 1.7717137, 1.7391092, 1.6138002999999999, 1.942842, 1.922485, 1.875033, 1.8230739999999999, 1.7734146, 1.6250308, 1.964685, 1.943556, 1.887446, 1.8393059999999999, 1.846552, 1.7727494, 1.911254, 1.924235, 1.938521]",2024-10-14 19:35:20,"[2.57, -7.13, 1.85]","[2.308, -6.865, 1.78]"
9,2024-10-14 19:35:22,197eefe4-fd3d-d6ac-f72d-36314c16fbb7,24,-63.0,,,-74.0,2.473847620829865,,,-0.9877390177511616,0.4164171277879426,,,0.1813144485334811,,,,,,,,,,,2.201696409216202,,,4.935202756016667,,,,,,,,,,,,,,,,,,,25,"[2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 4.65348, 4.65348, 2.47246, 2.54282, 2.61317, 2.75388, 2.47246, 2.54282, 2.61317, 2.68353, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 4.65348, 4.65348]","[-7.029597, -7.026771, -7.021978, -7.082529, -7.096068, -8.453533, -7.266444, -7.221139, -7.222049, -7.219844, -7.337054, -7.219397, -7.259143, -7.258078, -7.312905000000001, -6.897122, -7.185135, -7.030306, -7.009293, -6.980488, -7.295442, -7.016345, -7.0487210000000005, -8.443682, -7.274183]","[1.974028, 1.983674, 1.999175, 1.942981, 1.8719569999999999, 1.9953539999999998, 2.0378689999999997, 1.837057, 1.827115, 1.850032, 1.6836309, 1.854239, 1.835162, 1.8469499999999999, 1.995614, 1.481095, 1.805782, 1.971544, 2.035956, 2.103859, 1.842936, 1.812949, 1.893897, 1.946014, 2.000048]",2024-10-14 19:35:22,"[2.92, -7.25, 1.9]","[2.308, -6.865, 1.78]"
10,2024-10-14 19:35:23,4ae2f2dd-8cc9-7b25-9c61-3d584b1e7e64,28,-59.0,-74.0,,-67.0,2.49913646590904,-1.080034860069493,,-0.997335452423153,0.5046224878299665,0.8186234282621405,,0.1591278199395991,,,,,,,,,,,1.4258642780441897,5.586613649704094,,2.808987166343766,-1.7225107299865652,6.718994714032163,-0.8167135891104209,6.696386535712622,0.0,10.0,1.3238276152257826,5.561446096699312,4.150431958585987,2.758593756992119,-1.3535317065029964,,-0.8004220293839897,6.746858003376978,0.0199668734109023,9.837637033151603,-0.4780104857468318,7.967268851129064,24,"[2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.82424, 2.40211, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388, 2.47246, 2.54282, 2.61317, 2.68353, 2.75388]","[-7.134819, -7.132656, -7.12607, -7.127845000000001, -7.101678, -7.058736000000001, -7.169584, -7.168810000000001, -7.165171, -7.129949, -7.100119, -7.055148, -7.052293000000001, -7.168942, -7.208792, -7.2103340000000005, -7.2154050000000005, -7.179907, -6.945786, -7.2122020000000004, -7.252777, -7.261507, -7.263642, -7.262315]","[1.8918169999999999, 1.9048209999999999, 1.939722, 1.9308999999999998, 1.830508, 1.831072, 1.92775, 1.9320519999999999, 1.951157, 1.9199169999999999, 1.8433009999999999, 1.856711, 1.874288, 1.931321, 1.931706, 1.92226, 1.887508, 1.858352, 1.929741, 1.910192, 1.894901, 1.804111, 1.6361033999999999, 1.6089679]",2024-10-14 19:35:23,"[2.6, -7.15, 1.87]","[2.308, -6.865, 1.78]"
11,2024-10-14 19:35:24,a34a5ba4-7573-b41d-d071-110d3af56c50,17,,,,-71.0,,,,-0.958763425616936,,,,0.1947233314639756,,,,,,,,,,,,,,3.876233181227384,,,,,,,,,,,,,,,,,,,18,"[2.33175, 2.40211, 2.47246, 2.54282, 2.61317, 2.33175, 2.40211, 2.47246, 2.54282, 2.61317, 2.33175, 2.40211, 2.47246, 2.54282, 2.33175, 2.40211, 2.47246, 2.54282]","[-7.264683, -7.2648790000000005, -7.264918, -7.301336, -7.264077, -7.263534, -7.264197, -7.264418, -7.300756, -7.333632, -7.261909, -7.2631190000000005, -7.263454, -7.263079, -7.264764, -7.264922, -7.264891, -7.301397]","[1.7277387, 1.7120416, 1.70479104, 1.7150342, 1.7519746999999999, 1.7665133, 1.7481541999999999, 1.7401674999999999, 1.7472663, 1.814363, 1.7978283, 1.7757759, 1.7683999, 1.7766202, 1.7226147, 1.69720001, 1.6895797, 1.70370837]",2024-10-14 19:35:24,"[2.46, -7.27, 1.74]","[2.308, -6.865, 1.78]"
