;CreateTime;BeaconID;Channel;RSSI_1;RSSI_2;RSSI_3;RSSI_4;Azim_1;Azim_2;Azim_3;Azim_4;Elev_1;Elev_2;Elev_3;Elev_4;X_sylabs;Y_sylabs;Z_sylabs;X_real;Y_real;Z_real;Real_Dist_1;Real_Dist_2;Real_Dist_3;Real_Dist_4;Dest_RSSI_1;Dest_RSSI_2;Dest_RSSI_3;Dest_RSSI_4;X_est_MLT;Y_est_MLT;X_est_TRIG;Y_est_TRIG;X_est_TRIANG;Y_est_TRIANG;Dest_MLT_1;Dest_MLT_2;Dest_MLT_3;Dest_MLT_4;X_est_MLT_KF;Y_est_MLT_KF;X_est_TRIG_KF;Y_est_TRIG_KF;X_est_TRIANG_KF;Y_est_TRIANG_KF;X_est_FUSAO;Y_est_FUSAO
0;1728945228;ac9ba3b2-7118-0849-947d-235e2851164b;10;-63;-74;-66;-63;2.797983088;-1.94031339;0.684281932;-1.662764068;0.344011537;0.184909217;0.155390856;0.165137193;;;;-3.503;6.865;1.78;;;;;2.201696409;5.58661365;2.806093919;2.035586749;-2.874892356;6.613059982;-3.297539644;6.553064842;-3.722525342;7.030406985;2.23669262;5.726178206;3.098018229;2.087232026;-3.298319114;;-3.298319114;6.73217727;-3.298319114;6.73217727;-3.298319114;6.73217727
1;1728945229;6a1ae8a5-9a19-8e68-5c6a-9c19553950ff;23;-63;-77;-74;-65;2.84045092;-1.949262677;0.613907633;-1.629804387;0.290232827;0.189252383;0.108177229;0.147521231;;;;-3.503;6.865;1.78;;;;;2.201696409;7.16246161;5.482912226;2.391220829;-1.861046727;6.203418176;-2.891018485;6.386345564;-3.661486106;7.072950715;1.838359199;5.072761657;4.191234984;2.289297114;-2.78237518;;-2.91817186;6.409401011;-3.626340913;7.03997264;-3.201439481;6.661629662
2;1728945230;f45e69e4-f2c0-4bbc-bc6e-18915f982e13;31;-68;-74;-69;-67;2.861902682;-1.952556075;0.632283711;-1.74555855;0.290789794;0.143691522;0.117783076;0.127218797;;;;-3.503;6.865;1.78;;;;;3.789714477;5.58661365;3.607390121;2.808987166;-3.207117784;5.980784716;-3.41830841;6.278845899;-3.881483007;7.14126632;2.880033873;5.264425928;3.127065205;1.388201531;-2.918453182;;-3.372669408;6.279942397;-3.867874094;7.142117742;-3.561200361;6.618001263
3;1728945231;35b77f10-7360-cc68-f412-5f0b80dec02e;2;-76;-70;-83;-69;2.853489756;-1.931646532;0.677250387;-1.562428408;0.264552098;0.145488407;0.121764386;0.105296845;;;;-3.503;6.865;1.78;;;;;9.035766122;4.01110237;11.64887596;3.299740787;-2.511013179;1.800257812;-3.10000544;4.996128847;-3.502984989;7.008345025;6.212552969;1.632979926;6.843197359;3.004313514;-2.652704107;;-3.134423703;5.078154264;-3.555800301;7.03117475;-3.302886352;5.854148758
4;1728945232;3f7057c3-8f8c-1d6f-40c7-eaaebd29802d;27;-68;-75;-69;-71;2.855745454;-1.88179149;0.70712706;-1.523290859;0.19237196;0.134218334;0.116953576;0.169445489;;;;-3.503;6.865;1.78;;;;;3.789714477;6.069038062;3.607390121;3.876233181;-2.706478615;6.727974997;-3.09913397;6.650337048;-3.390269132;7.268309333;2.032885365;5.7826038;3.211420078;2.252199638;-2.63439343;;-3.098103725;6.483984871;-3.396947515;7.243731426;-3.214712524;6.756490998
5;1728945233;f5ca3d6a-fd99-fb54-d24c-6b038b2e4584;2;-64;-71;-66;-61;2.884304661;-1.896780693;0.676829608;-1.504317568;0.148034356;0.183812078;0.186348522;0.120351853;;;;-3.503;6.865;1.78;;;;;2.454297729;4.357475652;2.806093919;1.732844312;-2.927299316;6.280936975;-3.186589591;6.442853021;-3.345943574;7.152800872;2.473441181;5.432137143;3.198726649;1.756062377;-2.78396476;;-3.17722864;6.481376044;-3.338146246;7.172454863;-3.238525786;6.754455119
6;1728945234;4ff181e7-73a0-09b8-4ce6-7eb37201f50c;27;-84;-77;-75;-71;2.838049281;-1.863410619;0.693441075;-1.535750725;0.181657697;0.18700341;0.190445279;0.169105802;;;;-3.503;6.865;1.78;;;;;21.5438577;7.16246161;5.961766054;3.876233181;-7.296144593;3.763732936;-4.209999311;6.713011695;-3.417276267;7.47710937;7.496553431;6.805105245;4.377054035;3.87108605;-5.613656793;;-4.137861506;6.711310001;-3.400838151;7.448468339;-3.838702124;7.001097532
7;1728945235;bee2301a-65bb-d2fd-d751-18b586aab707;10;-63;-75;-68;-69;2.868902535;-1.815505944;0.702705147;-1.500278884;0.121920139;0.16657778;0.16630414;0.160057413;;;;-3.503;6.865;1.78;;;;;2.201696409;6.069038062;3.317641656;3.299740787;-2.276513144;7.209250515;-2.802444315;6.919217805;-3.251790563;7.921040682;1.42176769;6.139554773;3.498914077;2.865557922;-3.92959233;;-2.93899161;6.920131603;-3.265804658;7.890691829;-3.086902885;7.301274103
8;1728945236;0dbe7a86-4a11-d4b1-802f-0a33867fa644;26;-80;-77;-70;-72;2.811593439;-1.801792262;0.790543124;-1.503731139;0.102967786;0.133389275;0.167572554;0.203874502;;;;-3.503;6.865;1.78;;;;;13.95224926;7.16246161;3.922443964;4.201215217;-7.393348678;4.767990107;-4.221502392;6.928505849;-3.254252887;7.968084885;7.091133569;7.327390246;3.504895119;3.872843547;-6.110267067;;-4.096915697;6.943255801;-3.247828709;7.991432016;-3.747934429;7.355405849
9;1728945237;1c1550d7-8ffa-661d-3a96-2082e04c846c;19;-67;-70;-80;-67;2.804066813;-1.872231807;0.970418883;-1.505918261;0.0769318;0.166686354;0.195358013;0.240658316;;;;-3.503;6.865;1.78;;;;;3.399669347;4.01110237;9.061354299;2.808987166;-0.997597707;4.498410068;-2.977137408;5.324389824;-3.368161834;6.818728041;3.326590946;3.292418835;5.786114098;2.528776477;-3.219964353;;-3.091793093;5.448065887;-3.352229445;6.95128127;-3.209727346;6.051542938
10;1728945238;8f85a5b9-8222-50f4-9e41-b8c873a20fe2;36;-67;-79;-75;-66;2.827427529;-1.869474637;0.649139657;-1.486989843;0.113425337;0.177891255;0.180931519;0.28658889;;;;-3.503;6.865;1.78;;;;;3.399669347;8.452880966;5.961766054;2.591699948;-2.400653936;5.816198426;-2.935325763;6.158414647;-3.273396995;7.324755826;2.451764008;4.821190107;3.888218828;1.633738287;-2.482916841;;-2.919375038;6.048582816;-3.28485046;7.240199466;-3.061546346;6.499527471
11;1728945239;aa75d638-11fc-ee04-4b94-4fdada52fec2;7;-65;-70;-66;-61;2.784664086;-1.946074873;0.553740965;-1.438986364;0.11087189;0.093350554;0.192349589;0.257510234;;;;-3.503;6.865;1.78;;;;;2.735880076;4.01110237;2.806093919;1.732844312;-2.954383297;6.078094934;-3.153934569;6.323696889;-3.240947881;6.744719602;2.625044802;5.253200052;3.279868804;1.556663446;-2.536302961;;-3.118457347;6.303972203;-3.243197788;6.787292237;-3.160991267;6.486848213
12;1728945240;cd842aff-0ee8-af86-663d-a8eb1092b410;34;-68;-83;-82;-69;2.790107588;-1.955880233;0.58591275;-1.443379249;0.108944744;0.102079347;0.222882914;0.425998183;;;;-3.503;6.865;1.78;;;;;3.789714477;11.77306781;10.7132289;3.299740787;-2.456001214;5.436616107;-2.996799804;5.94422741;-3.262511491;6.671390881;2.799803951;4.477418029;4.054533737;1.338181672;-2.345230016;;-3.005910003;5.980653967;-3.257495546;6.655566279;-3.10503973;6.250144813
13;1728945241;dba73308-3b29-e3a5-4feb-2b9ee3ca3370;33;-62;-74;-79;-71;2.820745125;-1.815959879;0.504485268;-1.428855167;0.156209428;0.174894449;0.296703343;0.443292584;;;;-3.503;6.865;1.78;;;;;1.975093332;5.58661365;8.333539059;3.876233181;-0.219639923;6.144524537;-2.160632794;6.646860714;-2.97433971;7.776102494;1.850724461;4.998247618;5.754649126;3.634419131;-0.896881011;;-2.216814406;6.590106331;-3.001166828;7.648571772;-2.531813218;6.999612039
14;1728945242;77b8ed9c-baf2-32f6-8ace-bfef9ed3d02f;16;-63;-74;-81;-61;2.786462785;-1.871080523;0.523731934;-1.447393298;0.173796145;0.18806964;0.253704893;0.389964215;;;;-3.503;6.865;1.78;;;;;2.201696409;5.58661365;9.852733772;1.732844312;-2.184700639;5.690840882;-2.773810956;6.178987324;-3.154174468;7.296978491;2.443363;4.641239851;4.137855677;1.708376785;-1.426684561;;-2.699206207;6.229996033;-3.125125969;7.376833334;-2.855447291;6.685122192
15;1728945243;dcc14a8c-d92e-3e34-05ef-79c43a7a1f58;19;-65;-81;-82;-63;2.786116042;-1.990266702;0.511424934;-1.488687875;0.147168845;0.181281309;0.249158544;0.412109099;;;;-3.503;6.865;1.78;;;;;2.735880076;9.975787727;10.7132289;2.035586749;-2.404667931;5.429152669;-2.989116493;5.99247231;-3.359850813;6.650497845;2.779792818;4.453796563;4.100328616;1.375103963;-1.946879291;;-2.97366824;6.003681954;-3.337650437;6.726064174;-3.113126862;6.28637658
16;1728945244;2f29624f-3ed7-743a-2543-3a24d2b1f54d;11;-65;-81;-68;-68;2.776877536;-1.923660644;0.45140687;-1.500403253;0.155439874;0.212347432;0.174545326;0.366731463;;;;-3.503;6.865;1.78;;;;;2.735880076;9.975787727;3.317641656;3.044491669;-3.179923282;7.370103561;-3.263398488;7.119515863;-3.342688561;7.101057601;2.231775195;6.541554608;2.581324407;2.762489885;-2.738930476;;-3.256241855;7.02755157;-3.354015368;7.031558334;-3.293475047;7.015598675
17;1728945245;2faf3ccf-c54a-42fb-26dd-5bfcab978773;7;-63;-72;-90;-69;2.788588521;-1.899462896;0.428859483;-1.46871177;0.173443093;0.161306302;0.367394491;0.285133606;;;;-3.503;6.865;1.78;;;;;2.201696409;4.733759526;20.93290369;3.299740787;-0.044226158;5.375782386;-2.270213278;6.402789392;-3.2407436;7.225346442;2.62728716;4.275695652;6.187272269;3.558026332;-1.172215863;;-2.358487236;6.485077791;-3.257772384;7.208716154;-2.723622555;6.780321975
