;CreateTime;BeaconID;Channel;RSSI_1;RSSI_2;RSSI_3;RSSI_4;Azim_1;Azim_2;Azim_3;Azim_4;Elev_1;Elev_2;Elev_3;Elev_4;X_sylabs;Y_sylabs;Z_sylabs;X_real;Y_real;Z_real;Real_Dist_1;Real_Dist_2;Real_Dist_3;Real_Dist_4;Dest_RSSI_1;Dest_RSSI_2;Dest_RSSI_3;Dest_RSSI_4;X_est_MLT;Y_est_MLT;X_est_TRIG;Y_est_TRIG;X_est_TRIANG;Y_est_TRIANG;Dest_MLT_1;Dest_MLT_2;Dest_MLT_3;Dest_MLT_4;X_est_MLT_KF;Y_est_MLT_KF;X_est_TRIG_KF;Y_est_TRIG_KF;X_est_TRIANG_KF;Y_est_TRIANG_KF;X_est_FUSAO;Y_est_FUSAO
0;1728944922223520;6bba18e6-5485-b6e5-7a8c-c0116dd633d4;17;-63;-76;-57;-71;-3101772802654810;-22576362245706900;2561078929703190;-2287567492062090;0.525084786;0.275207239;0.297991547;0.246510413;;;;-7.1;6.865;1.78;;;;;2201696409216200;6593121576781910;13207769323882100;38762331812273800;-3143334116221990;7685416236014330;-5471318496922960;6944782032648710;-6222093895628590;7715199121429720;21528639302314700;6827860761293510;2578670825556960;30799068802606600;-4945582169591180;;-4945582169591180;7448465796697590;-4945582169591180;7448465796697590;-4945582169591180;7448465796697590
1;1728944923228140;96f0d89d-158d-f0a8-6720-944fa605a965;11;-63;-74;-55;-76;3030765204826140;-22653039979812400;2582444938496680;-2299549586438570;0.543958642;0.282700975;0.262920545;0.214994049;;;;-7.1;6.865;1.78;;;;;2201696409216200;5586613649704090;11171261102409500;5797424075157780;-27807113794155800;8348414926312900;-5709535103363110;7051810460234080;-6141203945132900;7446298252568970;18608407550517200;7363473244603110;29789615005158300;3792761499267830;-4168449065425580;;-5658604907778320;7078254149331640;-6025498612015960;7446508014904000;-58053623894733700;722555569556059
2;1728944924222220;273562e7-544d-f70e-c306-79c764276b02;1;-63;-77;-56;-79;3098155963578380;-2281259528704130;2586593610842800;-2272315568499200;0.525690888;0.295244363;0.259864818;0.279498823;;;;-7.1;6.865;1.78;;;;;2201696409216200;7162461609883260;12146910705915400;7381254412681240;-2829948030229570;847326468058948;-5772591473457970;7132841997661260;-6218101985744010;7558753142663900;1946093874853710;7496568861265060;2954408579677210;3906237571785720;-3332830704290900;;-5782687005437230;7119434847387280;-6237143915234510;7547614411799080;-596152197868219;7285864767877850
3;1728944925260780;7a556fdd-70bd-493e-6de3-b6e224a40f81;35;-65;-86;-60;-72;-3090919622264410;-23128640603084200;25636185201186900;-2256550986426480;0.5137039;0.392257763;0.292763396;0.27309938;;;;-7.1;6.865;1.78;;;;;27358800764546100;1509396415848640;16979323560113300;4201215216834310;-3270271383887580;8922648316525880;-6037131977830450;7358297940845340;-6344043772633830;76638516262000700;2526201040517130;8046508486611960;26731353348421;4301079820162330;-30924711387249500;;-6031674145539460;7339328618162430;-6361112786236030;7658270157786370;-61589081671564500;7461261537133290
4;1728944926227400;bf0c3181-355d-d051-0105-a57a4abac24b;16;-63;-70;-57;-76;-3080583894073820;-2270513141073440;2669068514009250;-2261057853939220;0.591287808;0.36922335;0.21005257;0.281244991;;;;-7.1;6.865;1.78;;;;;2201696409216200;4011102370120820;13207769323882100;5797424075157780;-2176710048815280;814819395202762;-5636614547936080;7064219489085740;-6281194218372700;77915457099956200;12251093706678800;7042892701690690;35531639595016600;37679202094323500;-23706064708558500;;-5680563904899770;7092205850816780;-6307587248332350;77871643115249400;-59313519514700400;7368357547265970
5;1728944927229200;3dbb1480-5115-777f-a8e1-930bff609b40;30;-65;-84;-61;-75;-31063478470914600;-22565374043049200;2641874976118450;-2210972582266430;0.629515022;0.362802635;0.245696035;0.277418595;;;;-7.1;6.865;1.78;;;;;27358800764546100;12789715040732300;18462224205560500;5348968430783270;-351590777808561;10;-6670911180054490;793642469590009;-6073536067217420;7781965039243990;33295046216535700;9149570815256490;30796952721611900;53710046825162600;-2891324347517200;;-6591900126350640;7869095112407320;-6101446210283360;7793210889811030;-63871642611345800;7829285298984810
6;1728944928234300;324cca2d-a863-7b9e-00f9-2e2184e72503;34;-67;-77;-61;-80;-3109362545445430;-21668706346147200;2684124961548120;-2294896511381990;0.64054537;0.458720909;0.244477789;0.266878785;;;;-7.1;6.865;1.78;;;;;33996693465135500;7162461609883260;18462224205560500;8000096203722880;-2312138337589920;8662775036028340;-574203447769604;7357936509239360;-57940914384374000;7818122225679190;15609998114482400;7573080200398020;350145746791661;4211594354490940;-2483164873968060;;-5837474236887560;7423990733997850;-5814919922710420;7820738335183280;-5841049475526920;7588239301917090
7;1728944929231990;c71acbf1-7d34-d8b6-fd5a-a7710817fc61;35;-63;-75;-61;-72;-3085437505160490;-20891492076779500;26941842536175700;-2233116500414330;0.564991157;0.411329891;0.2026353;0.2134992;;;;-7.1;6.865;1.78;;;;;2201696409216200;6069038061753150;18462224205560500;4201215216834310;-21222326025029900;77171347260264700;-5239561280651200;7107012089607790;-52817668674135800;7933898461935360;11323816748230400;66088445349121800;35970764380179100;3390977055065570;-2170245053344980;;-52657665943015700;7123727138979890;-5313878995700250;7926638341287360;-528888858836426;7441626533396530
8;1728944930231460;beffea44-ce09-5347-5ac5-2168733c1509;1;-63;-71;-54;-80;-30819674062601100;-2093300276869060;2641616116860490;-2254905419188920;0.631248208;0.429311654;0.31144344;0.136176698;;;;-7.1;6.865;1.78;;;;;2201696409216200;4357475651666180;10273976457029000;8000096203722880;-28671516711808100;807632343116934;-5347949978660370;7284817339097600;-5325718771185330;7929400895482710;18889455648482400;7122151532050640;2859140496761060;35091560052958700;-2509501663742380;;-5311283243836840;7258251060153460;-528872949258169;7936522261955240;-5297204843074170;75192805982435900
9;1728944931228230;59c1ab21-d941-b03c-eeb1-f1fc960cd29d;19;-61;-74;-56;-75;-2985777489795870;-21650849851038200;26486202305274000;-23029163546886500;0.616900427;0.384490354;0.303333183;0.153220113;;;;-7.1;6.865;1.78;;;;;17718127048307100;5586613649704090;12146910705915400;5348968430783270;-23968137465095700;8113107033177860;-5491873156391830;71788628644679000;-587221343476281;80067922189467;14311140564154000;7048918533019330;3330913226885360;3661597642585850;-24278263466727700;;-5467790791036310;7183798979551510;-5798658664062720;8003756478491950;-5594730701355590;7504549001504460
