numObj,x,y,z,timestamp
2,"[2.88457, 2.95492]","[-0.161387, -0.162718]","[0.235557, 0.267249]",14/10/2024 19:45:15
12,"[3.02528, 3.09563, 3.16599, 3.23635, 3.02528, 3.09563, 3.16599, 3.23635, 3.09563, 3.16599, 0.844264, 0.844264]","[-0.189049, -0.189798, -0.190225, -0.191929, -0.220725, -0.190394, -0.190975, -0.192729, -0.191166, -0.192026, -1.19065, -1.15661]","[0.0672728, 0.110957, 0.129354, 0.184938, 0.0413456, 0.13595, 0.156373, 0.205695, 0.162526, 0.187594, -0.219894, -0.141846]",14/10/2024 19:45:16
10,"[4.08061, 4.15097, 4.22132, 4.08061, 4.15097, 4.22132, 4.01025, 4.15097, 4.22132, 4.43239]","[-0.130464, -0.129863, -0.129423, -0.0999266, -0.0994818, -0.100089, -0.169938, -0.232846, -0.20329, -0.188664]","[0.280764, 0.264335, 0.251554, 0.348894, 0.33643, 0.35331, 0.392667, 0.323883, 0.379879, 0.0222554]",14/10/2024 19:45:18
10,"[4.50274, 4.5731, 4.64345, 4.29168, 4.43239, 4.50274, 4.5731, 4.64345, 4.71381, 4.71381]","[-0.162128, -0.227912, -0.265237, -0.16831, -0.166051, -0.163536, -0.23046, -0.269048, -0.308068, 0.739405]","[0.253734, 0.253028, 0.305497, 0.368852, 0.332234, 0.284797, 0.292093, 0.346679, 0.38299, -0.734738]",14/10/2024 19:45:19
21,"[4.85452, 4.85452, 4.50274, 4.43239, 4.50274, 4.5731, 4.43239, 4.50274, 4.5731, 4.29168, 4.36203, 4.43239, 4.29168, 4.36203, 4.43239, 4.43239, 4.50274, 4.78416, 4.78416, 4.85452, 4.85452]","[-0.388347, 0.543101, -0.274584, -0.239287, -0.240479, -0.23824, -0.203063, -0.243127, -0.239405, -0.161655, -0.164957, -0.173903, -0.16457, -0.167893, -0.127745, -1.081, -0.158461, -0.355106, 0.590569, -0.386942, 0.591354]","[0.139135, -0.561296, 0.397555, 0.395108, 0.406605, 0.384634, 0.377099, 0.430733, 0.396258, 0.24231, 0.312645, 0.444016, 0.305346, 0.362428, 0.194341, -0.968402, 0.140197, 0.150677, -0.666982, 0.11186, -0.571984]",14/10/2024 19:45:20
19,"[4.01025, 4.15097, 4.29168, 4.36203, 4.29168, 4.36203, 4.29168, 4.36203, 3.9399, 4.01025, 4.08061, 4.15097, 4.22132, 4.29168, 3.9399, 4.08061, 4.15097, 4.22132, 4.29168]","[-0.171922, -0.193888, -0.22055, -0.18862, -0.220562, -0.220627, -0.220918, -0.221047, -0.172259, -0.216996, -0.158106, -0.159356, -0.159366, -0.159995, -0.210233, -0.127752, -0.160726, -0.192878, -0.160922]","[0.419395, 0.232306, -0.0121922, 0.00623066, 0.016093, 0.0288903, 0.0585508, 0.0676591, 0.423724, 0.513785, 0.123444, 0.175317, 0.175657, 0.196407, 0.454518, 0.194583, 0.217906, 0.209321, 0.223313]",14/10/2024 19:45:21
9,"[1.2664, 1.33675, 4.01025, 1.40711, 1.2664, 1.33675, 3.86954, 3.9399, 4.01025]","[-1.10101, -1.10142, -0.192633, -1.13691, -1.09896, -1.0978, -0.194221, -0.228976, -0.26217]","[0.193644, 0.1947, 0.203332, 0.0489568, 0.188253, 0.185103, 0.239349, 0.270111, 0.26691]",14/10/2024 19:45:22
28,"[1.33675, 1.40711, 1.47746, 1.54782, 3.9399, 4.01025, 4.08061, 1.33675, 1.40711, 1.47746, 1.54782, 3.86954, 3.9399, 4.01025, 4.08061, 1.33675, 1.40711, 1.47746, 1.54782, 3.86954, 3.9399, 4.01025, 4.08061, 3.79919, 3.86954, 3.9399, 4.01025, 4.08061]","[-1.01263, -1.02185, -1.03825, -1.06203, -0.192335, -0.191516, -0.15925, -1.02158, -1.03058, -1.05424, -1.1029, -0.194805, -0.193704, -0.19273, -0.191613, -1.0272, -1.04041, -1.0668, -1.11209, -0.196813, -0.195311, -0.195319, -0.193707, -0.172348, -0.212282, -0.160889, -0.165167, -0.172548]","[0.102817, 0.148002, 0.20345, 0.26109, 0.195768, 0.173173, 0.17156, 0.146898, 0.179961, 0.244082, 0.332112, 0.25119, 0.228302, 0.20572, 0.176022, 0.168387, 0.209516, 0.270786, 0.345145, 0.287848, 0.260986, 0.26112, 0.228367, 0.424848, 0.473608, 0.222396, 0.316516, 0.427377]",14/10/2024 19:45:23
20,"[4.50274, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853, 1.47746]","[-0.229115, -0.601794, -0.601051, -0.56255, -0.599795, -0.639148, -0.637086, -0.604337, -0.603254, -0.564375, -0.610902, -0.648067, -0.648869, -0.608194, -0.606042, -0.566718, -0.575934, -0.658989, -0.6615, -0.607338]","[0.272264, 0.113182, 0.103218, 0.0886674, 0.0836336, 0.0962723, 0.0609828, 0.141965, 0.130511, 0.116699, 0.197106, 0.181322, 0.187009, 0.176593, 0.158265, 0.144772, 0.222023, 0.246893, 0.259394, 0.169551]",14/10/2024 19:45:24
30,"[2.6735, 2.74386, 4.71381, 4.78416, 2.60315, 2.6735, 2.74386, 4.71381, 2.6735, 2.74386, 2.53279, 2.39208, 2.46244, 2.53279, 2.25137, 2.32173, 2.39208, 2.46244, 2.53279, 2.25137, 2.32173, 2.39208, 2.46244, 2.53279, 2.25137, 2.32173, 2.88457, 2.74386, 2.95492, 2.95492]","[-0.286407, -0.286232, -0.0965212, -0.0957148, -0.318691, -0.285683, -0.285573, -0.128904, -0.317956, -0.285173, -0.31792, -0.322088, -0.32177, -0.324296, -0.324271, -0.321222, -0.370632, -0.332426, -0.304125, -0.325996, -0.323778, -0.403124, -0.380129, -0.351265, -0.327528, -0.358918, -0.351418, -0.220691, -0.642833, -0.448685]","[-0.0943753, -0.0878672, 0.233775, 0.195406, -0.0725402, -0.0632232, -0.0569726, 0.235485, -0.0283943, -0.0229039, -0.0242344, 0.160101, 0.154078, 0.196659, 0.196286, 0.143085, 0.320591, 0.292247, 0.35052, 0.220482, 0.188745, 0.298031, 0.385926, 0.431827, 0.239773, 0.207172, -0.0527707, 0.0374639, -0.138198, 1.04224]",14/10/2024 19:45:25
