numObj,x,y,z,timestamp
3,"[-1.77766, 0.710163, -1.50121]","[1.58096, 2.61538, 2.81925]","[0.250041, 0.429234, 0.855837]",14/10/2024 19:24:49
16,"[0.633198, 0.703553, 0.773909, 0.844264, 0.633198, 0.703553, 0.773909, 0.633198, 0.633198, 0.703553, 0.773909, 0.844264, 0.633198, 0.703553, 0.773909, 0.844264]","[-0.565171, -0.675216, -0.716938, -0.717285, -0.803227, -0.759549, -0.717335, -0.535767, -1.14652, -0.541295, -0.716042, -0.67642, -0.636489, -0.716911, -0.716077, -0.71593]","[-0.126961, 0.0145414, 0.0502663, 0.0576179, -0.0486234, -0.0563844, -0.0586108, -0.20318, 0.470045, -0.243872, 0.0216279, -0.0566776, -0.0458986, 0.049644, 0.0234544, 0.0145591]",14/10/2024 19:24:50
24,"[1.19604, 0.844264, 0.914619, 0.984975, 1.05533, 1.12569, 1.19604, 0.844264, 0.844264, 0.914619, 0.984975, 1.05533, 1.12569, 1.19604, 0.844264, 0.914619, 0.914619, 0.984975, 1.05533, 1.12569, 0.844264, 0.914619, 1.05533, 1.12569]","[-0.564729, -0.523729, -0.523602, -0.560273, -0.63989, -0.652135, -0.577686, -0.528916, -0.993774, -0.524861, -0.599095, -0.637863, -0.636785, -0.597412, -0.9495, -0.53322, -1.02296, -0.602546, -0.641062, -0.642354, -0.921735, -0.966034, -0.64467, -0.648123]","[-0.364637, 0.0212166, -0.00330971, -0.025137, -0.106096, -0.208432, -0.233636, 0.135101, -0.247756, 0.066042, 0.0703721, 0.0762424, 0.0538944, -0.00389696, 0.0391996, 0.181055, -0.152466, 0.12243, 0.119946, 0.133518, 0.196952, 0.157153, 0.154793, 0.18173]",14/10/2024 19:24:51
32,"[1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 0.984975, 1.05533, 1.12569, 1.12569, 1.19604, 1.2664, 1.33675, 0.984975, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 0.984975, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.2664, 1.33675]","[-0.524691, -0.525061, -0.487924, -0.468083, -0.438266, -0.561031, -0.562292, -0.563326, -0.5236, -0.481214, -0.445726, -0.716189, -0.764714, -1.07425, -0.503064, -0.530825, -0.523835, -0.514037, -0.715907, -0.715928, -0.716092, -0.718791, -0.831614, -0.766353, -0.717599, -0.718055, -0.678427, -0.727782, -0.774879, -0.773808, -0.777804, -0.780023]","[0.0614511, 0.0710893, -0.013503, -0.246847, -0.293277, 0.0551785, 0.0839279, 0.10156, 0.00213349, -0.332529, -0.341279, -0.0283947, -0.118197, -0.476601, 0.235985, 0.157231, -0.0285756, -0.306709, 0.0125822, 0.0143645, 0.0241803, 0.0822396, 0.234753, 0.131771, 0.063563, 0.0712864, 0.0905142, 0.16436, 0.186483, 0.180584, 0.201633, 0.212339]",14/10/2024 19:24:52
24,"[2.25137, 2.32173, 2.11066, 2.18102, 2.25137, 2.32173, 2.39208, 2.46244, 2.11066, 2.18102, 2.25137, 2.32173, 2.39208, 2.46244, 2.11066, 2.18102, 2.25137, 2.32173, 2.39208, 2.46244, 2.32173, 2.39208, 2.46244, 2.46244]","[-0.353679, -0.351705, -0.356674, -0.357064, -0.357614, -0.355896, -0.353487, -0.318969, -0.359433, -0.359752, -0.361858, -0.366562, -0.367908, -0.40854, -0.362428, -0.362689, -0.366698, -0.417214, -0.420748, -0.418895, -0.432263, -0.439206, -0.252741, -0.252685]","[0.122632, 0.0659361, 0.17626, 0.182038, 0.189863, 0.164091, 0.118336, 0.0833285, 0.213596, 0.217478, 0.241378, 0.286977, 0.29859, 0.336418, 0.247409, 0.250111, 0.288177, 0.388614, 0.407484, 0.397738, 0.462039, 0.490929, -0.0217017, 0.00576699]",14/10/2024 19:24:53
31,"[4.01025, 4.08061, 4.01025, 4.08061, 4.22132, 4.22132, 4.29168, 4.29168, 3.65848, 3.72883, 3.79919, 3.86954, 4.29168, 4.29168, 3.65848, 3.72883, 3.79919, 3.86954, 3.79919, 3.86954, 4.08061, 4.01025, 4.01025, 4.08061, 4.08061, 4.01025, 4.01025, 4.08061, 4.08061, 4.01025, 4.01025]","[-0.220951, -0.221019, -0.221363, -0.221625, -0.197681, 0.568819, -0.228323, 0.967936, -0.196799, -0.198102, -0.200497, -0.206775, -0.23094, 0.923442, -0.199437, -0.201831, -0.2412, -0.211894, -0.246894, -0.247563, -0.220681, -0.453041, -0.339225, -0.453282, -0.258752, -0.453956, -0.168632, -0.454177, -0.163361, -0.453412, -0.626066]","[0.0610144, 0.0657379, 0.0859062, 0.0985033, 0.302139, -0.716333, 0.259783, 0.322504, 0.287603, 0.308798, 0.343824, 0.41954, 0.298803, 0.347509, 0.328868, 0.361593, 0.413358, 0.470075, 0.462204, 0.467488, 0.036235, 0.0303552, -1.38185, 0.0437215, -1.32404, 0.0683595, -1.18921, 0.0746941, -1.17635, 0.0494405, -1.46393]",14/10/2024 19:24:54
17,"[5.41736, 5.48772, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 5.06558, 5.13594, 5.2063, 5.27665]","[-0.159416, -0.159058, -0.196951, -0.197775, -0.165483, -0.164071, -0.165765, -0.166703, -0.167176, -0.165978, -0.16739, -0.168559, -0.169461, -0.134473, -0.134855, -0.135133, -0.136804]","[0.177416, 0.164508, 0.29016, 0.303629, 0.322238, 0.295633, 0.327245, 0.343298, 0.351056, 0.33098, 0.3545, 0.372618, 0.38588, 0.369906, 0.377104, 0.382229, 0.411368]",14/10/2024 19:24:55
9,"[5.90985, 5.9802, 5.83949, 5.90985, 5.9802, 6.05056, 5.90985, 5.9802, 6.05056]","[-0.0993453, -0.0997613, -0.100387, -0.101117, -0.100741, -0.130882, -0.102897, -0.132909, -0.132864]","[0.332491, 0.344323, 0.361255, 0.379829, 0.370417, 0.291586, 0.420921, 0.338466, 0.337502]",14/10/2024 19:24:56
3,"[0.710163, -1.93015, -1.50121]","[2.61538, 2.12234, 2.81925]","[0.429234, 0.30152, 0.855837]",14/10/2024 19:24:57
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:24:58
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:24:59
2,"[0.710163, -1.93015]","[2.61538, 2.12234]","[0.429234, 0.30152]",14/10/2024 19:25:00
4,"[-0.279457, 0.710163, -1.93015, -1.50121]","[2.62576, 2.61538, 2.12234, 2.81925]","[0.418228, 0.429234, 0.30152, 0.855837]",14/10/2024 19:25:01
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:02
1,"[6.26163]","[-0.163219]","[0.278152]",14/10/2024 19:25:03
3,"[6.12091, 6.19127, 6.12091]","[-0.135383, -0.135615, -0.130047]","[0.386766, 0.390922, 0.269493]",14/10/2024 19:25:04
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:05
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:06
1,"[5.9802]","[-0.106351]","[0.488203]",14/10/2024 19:25:07
4,"[6.26163, 6.26163, 6.33198, 6.12091]","[-0.162594, -0.163709, -0.165398, -0.129989]","[0.264483, 0.28835, 0.320701, 0.267892]",14/10/2024 19:25:08
4,"[6.33198, 6.26163, 6.33198, 6.40234]","[-0.163296, -0.165084, -0.165067, -0.16517]","[0.279771, 0.314988, 0.314669, 0.316562]",14/10/2024 19:25:10
5,"[5.13594, 4.99523, 5.06558, 4.99523, 5.06558]","[-0.688203, -0.695146, -0.658391, -0.6976, -0.662154]","[0.179017, 0.220427, 0.243808, 0.233147, 0.26254]",14/10/2024 19:25:11
3,"[6.33198, 6.40234, 6.40234]","[-0.129177, -0.128183, -0.593318]","[0.244074, 0.210894, 0.317042]",14/10/2024 19:25:12
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:13
8,"[6.12091, 6.19127, 6.33198, 6.26163, 6.33198, 6.33198, 6.33198, 6.40234]","[-0.14183, -0.107097, -0.23169, -0.266625, -0.26829, -0.235114, -0.198647, -0.200726]","[0.485813, 0.501101, 0.308958, 0.321224, 0.338964, 0.35101, 0.317168, 0.346955]",14/10/2024 19:25:14
4,"[5.9802, 6.05056, 5.9802, 6.05056]","[-0.257698, -0.206855, -0.259274, -0.251763]","[0.538787, 0.420392, 0.548652, 0.498877]",14/10/2024 19:25:15
2,"[5.90985, 5.9802]","[-0.198924, -0.229993]","[0.321334, 0.285387]",14/10/2024 19:25:16
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.09562]","[0.418228, 0.429234, 0.451246]",14/10/2024 19:25:17
3,"[5.83949, 5.90985, 5.62843]","[-0.228562, -0.230702, -0.167679]","[0.263612, 0.295499, 0.359072]",14/10/2024 19:25:18
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.09562]","[0.418228, 0.429234, 0.451246]",14/10/2024 19:25:19
2,"[0.710163, -1.93015]","[2.61538, 2.12234]","[0.429234, 0.30152]",14/10/2024 19:25:20
16,"[5.90985, 6.19127, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.33198, 5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.05056]","[-0.136227, -0.193287, -0.223821, -0.224096, -0.193016, -0.223596, -0.224802, -0.194172, -0.19658, -0.196845, -0.196524, -0.227254, -0.198302, -0.230769, -0.230264, -0.233001]","[0.401616, 0.218949, 0.17019, 0.17709, 0.212628, 0.164351, 0.193574, 0.238333, 0.283869, 0.288386, 0.282904, 0.24177, 0.311896, 0.296443, 0.289303, 0.325823]",14/10/2024 19:25:21
9,"[6.26163, 6.33198, 6.40234, 6.19127, 6.26163, 6.33198, 6.40234, 6.33198, 6.40234]","[-0.235413, -0.230973, -0.233854, -0.238109, -0.235469, -0.230849, -0.232684, -0.228469, -0.200224]","[0.354392, 0.299268, 0.336269, 0.383301, 0.355024, 0.297547, 0.321846, 0.262122, 0.340045]",14/10/2024 19:25:22
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:23
1,"[6.12091]","[-0.140648]","[0.469758]",14/10/2024 19:25:24
7,"[6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.26163]","[-0.202797, -0.197651, -0.195669, -0.2113, -0.199941, -0.196401, -0.228473]","[0.373818, 0.301658, 0.267651, 0.464599, 0.336078, 0.280755, 0.262191]",14/10/2024 19:25:25
9,"[6.19127, 6.26163, 6.40234, 6.47269, 6.19127, 6.26163, 6.40234, 6.47269, 6.47269]","[-0.175797, -0.175692, -0.230965, -0.232068, -0.178141, -0.178351, -0.235026, -0.233097, -0.266352]","[0.465927, 0.464758, 0.299158, 0.313932, 0.491194, 0.49337, 0.350006, 0.327022, 0.31821]",14/10/2024 19:25:26
2,"[0.710163, -1.93015]","[2.61538, 2.12234]","[0.429234, 0.30152]",14/10/2024 19:25:27
4,"[5.69878, 5.62843, 5.69878, 5.69878]","[-0.64993, -0.664869, -0.661559, -0.661621]","[0.194246, 0.275144, 0.259681, 0.259981]",14/10/2024 19:25:28
8,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.12091, 6.19127]","[-0.0967591, -0.0977743, -0.0991136, -0.131184, -0.131765, -0.0995109, -0.132913, -0.133283]","[0.243852, 0.282469, 0.325675, 0.299113, 0.313017, 0.337262, 0.338546, 0.346292]",14/10/2024 19:25:29
2,"[0.710163, -1.93015]","[2.61538, 2.12234]","[0.429234, 0.30152]",14/10/2024 19:25:30
14,"[6.12091, 6.19127, 6.26163, 6.33198, 6.33198, 6.12091, 6.19127, 6.12091, 6.19127, 6.26163, 6.33198, 6.33198, 6.40234, 6.40234]","[-0.133654, -0.131406, -0.133039, -0.129553, -0.933407, -0.127908, -0.128787, -0.130167, -0.130814, -0.133055, -0.132085, -0.829583, -0.849096, -0.0633215]","[0.353862, 0.304517, 0.341198, 0.255404, -0.899298, 0.200663, 0.231682, 0.272782, 0.289847, 0.341547, 0.320369, -0.825991, -0.896394, 0.157095]",14/10/2024 19:25:31
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:32
3,"[6.26163, 6.26163, 6.33198]","[-0.164598, -0.163393, -0.165123]","[0.305882, 0.281819, 0.315707]",14/10/2024 19:25:33
13,"[5.9802, 6.05056, 6.33198, 6.40234, 6.33198, 6.40234, 6.33198, 5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[-0.102363, -0.104483, -0.131605, -0.131689, -0.131797, -0.132735, -0.131814, -0.0992178, -0.0672349, -0.0681472, -0.100559, -0.0682902, -0.0697789]","[0.40915, 0.453513, 0.309264, 0.311246, 0.313765, 0.334742, 0.314161, 0.32876, 0.375629, 0.408187, 0.36573, 0.412993, 0.459187]",14/10/2024 19:25:34
8,"[6.05056, 6.12091, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.134894, -0.136992, -0.130705, -0.131916, -0.166279, -0.132148, -0.133957, -0.169982]","[0.377825, 0.414497, 0.287062, 0.316524, 0.336149, 0.321792, 0.359893, 0.393279]",14/10/2024 19:25:35
9,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091]","[-0.128773, -0.130364, -0.132259, -0.130475, -0.131703, -0.133157, -0.140051, -0.132946, -0.134153]","[0.23121, 0.278123, 0.324287, 0.281052, 0.311569, 0.343672, 0.461347, 0.339237, 0.363734]",14/10/2024 19:25:36
12,"[6.05056, 6.26163, 6.19127, 6.26163, 6.33198, 6.19127, 6.26163, 6.33198, 6.26163, 6.33198, 6.05056, 6.12091]","[-0.101408, -0.131683, -0.13084, -0.131819, -0.132957, -0.163261, -0.131534, -0.132767, -0.164659, -0.133193, -0.100338, -0.0664265]","[0.386931, 0.311108, 0.290509, 0.314271, 0.339485, 0.279045, 0.307568, 0.335428, 0.307042, 0.344421, 0.359964, 0.343501]",14/10/2024 19:25:37
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:38
7,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.05056]","[-0.100015, -0.132105, -0.132949, -0.100992, -0.133598, -0.133817, -0.136]","[0.351305, 0.320819, 0.339314, 0.376727, 0.352731, 0.357134, 0.397699]",14/10/2024 19:25:39
4,"[6.05056, 6.12091, 6.05056, 6.12091]","[-0.098398, -0.0991711, -0.0982935, -0.0987322]","[0.30348, 0.327382, 0.300077, 0.314074]",14/10/2024 19:25:40
2,"[6.05056, 6.12091]","[-0.138631, -0.138735]","[0.440425, 0.442004]",14/10/2024 19:25:41
3,"[-0.279457, 0.710163, -1.93015]","[2.62576, 2.61538, 2.12234]","[0.418228, 0.429234, 0.30152]",14/10/2024 19:25:42
