numObj,x,y,z,timestamp,centroid_xyz,real_xyz
3,"[-0.78266, 1.705163, -0.5062099999999999]","[-6.24404, -5.20962, -5.005750000000001]","[1.950041, 2.129234, 2.555837]",14/10/2024 19:24:49,"[-0.86, 2.34, 0.51]","[1.15, -0.4, 0]"
16,"[1.628198, 1.698553, 1.7689089999999998, 1.839264, 1.628198, 1.698553, 1.7689089999999998, 1.628198, 1.628198, 1.698553, 1.7689089999999998, 1.839264, 1.628198, 1.698553, 1.7689089999999998, 1.839264]","[-8.390171, -8.500216, -8.541938, -8.542285, -8.628227, -8.584549, -8.542335, -8.360767000000001, -8.97152, -8.366295000000001, -8.541042000000001, -8.50142, -8.461489, -8.541911, -8.541077, -8.54093]","[1.573039, 1.7145413999999999, 1.7502663, 1.7576179, 1.6513765999999999, 1.6436156, 1.6413891999999999, 1.49682, 2.170045, 1.4561279999999999, 1.7216278999999999, 1.6433224, 1.6541014, 1.749644, 1.7234544, 1.7145591]",14/10/2024 19:24:50,"[0.73, -0.71, -0.01]","[1.15, -0.4, 0]"
24,"[2.19104, 1.839264, 1.909619, 1.979975, 2.05033, 2.12069, 2.19104, 1.839264, 1.839264, 1.909619, 1.979975, 2.05033, 2.12069, 2.19104, 1.839264, 1.909619, 1.909619, 1.979975, 2.05033, 2.12069, 1.839264, 1.909619, 2.05033, 2.12069]","[-8.389729, -8.348729, -8.348602, -8.385273, -8.46489, -8.477135, -8.402686000000001, -8.353916, -8.818774, -8.349861, -8.424095, -8.462863, -8.461785, -8.422412, -8.7745, -8.35822, -8.84796, -8.427546, -8.466062, -8.467354, -8.746735000000001, -8.791034, -8.46967, -8.473123000000001]","[1.335363, 1.7212166, 1.69669029, 1.674863, 1.593904, 1.491568, 1.466364, 1.8351009999999999, 1.4522439999999999, 1.766042, 1.7703721, 1.7762423999999999, 1.7538943999999999, 1.69610304, 1.7391996, 1.881055, 1.547534, 1.82243, 1.8199459999999998, 1.833518, 1.896952, 1.8571529999999998, 1.854793, 1.88173]",14/10/2024 19:24:51,"[1.0, -0.67, 0.02]","[2.35, -0.4, 0]"
32,"[2.12069, 2.19104, 2.2614, 2.33175, 2.40211, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 2.40211, 1.979975, 2.05033, 2.12069, 2.12069, 2.19104, 2.2614, 2.33175, 1.979975, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 1.979975, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 2.2614, 2.33175]","[-8.349691, -8.350061, -8.312924, -8.293083, -8.263266, -8.386031000000001, -8.387292, -8.388326, -8.3486, -8.306214, -8.270726, -8.541189, -8.589714, -8.89925, -8.328064, -8.355825, -8.348835000000001, -8.339037, -8.540907, -8.540928000000001, -8.541092, -8.543791, -8.656614, -8.591353, -8.542599000000001, -8.543055, -8.503427, -8.552782, -8.599879, -8.598808, -8.602804, -8.605023000000001]","[1.7614511, 1.7710892999999999, 1.686497, 1.453153, 1.406723, 1.7551785, 1.7839279, 1.80156, 1.70213349, 1.3674709999999999, 1.358721, 1.6716053, 1.5818029999999998, 1.223399, 1.935985, 1.857231, 1.6714244, 1.393291, 1.7125822, 1.7143644999999998, 1.7241803, 1.7822396, 1.934753, 1.831771, 1.763563, 1.7712864, 1.7905142, 1.86436, 1.886483, 1.880584, 1.901633, 1.912339]",14/10/2024 19:24:52,"[1.2, -0.64, 0.01]","[2.35, -0.4, 0]"
24,"[3.24637, 3.31673, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.31673, 3.38708, 3.45744, 3.45744]","[-8.178679, -8.176705, -8.181674000000001, -8.182064, -8.182614000000001, -8.180896, -8.178487, -8.143969, -8.184433, -8.184752, -8.186858, -8.191562, -8.192908000000001, -8.23354, -8.187428, -8.187689, -8.191698, -8.242214, -8.245748, -8.243895, -8.257263, -8.264206, -8.077741, -8.077685]","[1.822632, 1.7659361, 1.87626, 1.8820379999999999, 1.889863, 1.864091, 1.818336, 1.7833284999999999, 1.913596, 1.917478, 1.941378, 1.986977, 1.99859, 2.036418, 1.947409, 1.950111, 1.9881769999999999, 2.0886139999999997, 2.107484, 2.097738, 2.162039, 2.190929, 1.6782983, 1.7057669899999999]",14/10/2024 19:24:53,"[2.31, -0.36, 0.23]","[3.55, -0.4, 0]"
31,"[5.00525, 5.07561, 5.00525, 5.07561, 5.2163200000000005, 5.2163200000000005, 5.2866800000000005, 5.2866800000000005, 4.65348, 4.7238299999999995, 4.7941899999999995, 4.86454, 5.2866800000000005, 5.2866800000000005, 4.65348, 4.7238299999999995, 4.7941899999999995, 4.86454, 4.7941899999999995, 4.86454, 5.07561, 5.00525, 5.00525, 5.07561, 5.07561, 5.00525, 5.00525, 5.07561, 5.07561, 5.00525, 5.00525]","[-8.045951, -8.046019, -8.046363, -8.046625, -8.022681, -7.256181, -8.053323, -6.857064, -8.021799, -8.023102, -8.025497, -8.031775, -8.05594, -6.9015580000000005, -8.024437, -8.026831, -8.0662, -8.036894, -8.071894, -8.072563, -8.045681, -8.278041, -8.164225, -8.278282, -8.083752, -8.278956, -7.993632, -8.279177, -7.988361, -8.278412, -8.451066]","[1.7610143999999999, 1.7657379, 1.7859061999999999, 1.7985033, 2.002139, 0.983667, 1.9597829999999998, 2.022504, 1.987603, 2.008798, 2.043824, 2.1195399999999998, 1.9988029999999999, 2.047509, 2.028868, 2.061593, 2.113358, 2.1700749999999998, 2.162204, 2.167488, 1.736235, 1.7303552, 0.31814999999999993, 1.7437215, 0.37595999999999985, 1.7683594999999999, 0.5107899999999999, 1.7746941, 0.52365, 1.7494405, 0.23607]",14/10/2024 19:24:54,"[4.0, -0.17, -0.04]","[4.75, -0.4, 0]"
17,"[6.4123600000000005, 6.4827200000000005, 6.06058, 6.13094, 6.2013, 5.99023, 6.06058, 6.13094, 6.2013, 5.99023, 6.06058, 6.13094, 6.2013, 6.06058, 6.13094, 6.2013, 6.27165]","[-7.984416, -7.984058, -8.021951, -8.022775, -7.990483, -7.989071, -7.990765000000001, -7.991703, -7.992176000000001, -7.990978, -7.99239, -7.993559, -7.994461, -7.959473, -7.959855, -7.960133, -7.961804]","[1.877416, 1.8645079999999998, 1.99016, 2.003629, 2.0222379999999998, 1.995633, 2.0272449999999997, 2.043298, 2.051056, 2.03098, 2.0545, 2.072618, 2.08588, 2.069906, 2.077104, 2.082229, 2.111368]",14/10/2024 19:24:55,"[5.16, -0.16, 0.33]","[5.95, -0.4, 0]"
9,"[6.90485, 6.9752, 6.83449, 6.90485, 6.9752, 7.04556, 6.90485, 6.9752, 7.04556]","[-7.924345300000001, -7.9247613, -7.925387000000001, -7.9261170000000005, -7.925741, -7.955882, -7.927897, -7.957909, -7.957864]","[2.032491, 2.044323, 2.061255, 2.079829, 2.070417, 1.9915859999999999, 2.120921, 2.038466, 2.037502]",14/10/2024 19:24:56,"[5.96, -0.11, 0.35]","[5.95, -0.4, 0]"
3,"[1.705163, -0.93515, -0.5062099999999999]","[-5.20962, -5.70266, -5.005750000000001]","[2.129234, 2.00152, 2.555837]",14/10/2024 19:24:57,"[-0.91, 2.52, 0.53]","[1.15, -0.4, 0]"
3,"[0.715543, 1.705163, -0.93515]","[-5.19924, -5.20962, -5.70266]","[2.1182279999999998, 2.129234, 2.00152]",14/10/2024 19:24:58,"[-0.5, 2.45, 0.38]","[1.15, -0.4, 0]"
