numObj,x,y,z,timestamp,centroid_xyz,real_xyz
3,"[-0.78266, 1.705163, -0.5062099999999999]","[-9.40596, -10.440380000000001, -10.64425]","[1.950041, 2.129234, 2.555837]",14/10/2024 19:24:49,"[0.14, -10.16, 2.21]","[1.102, -6.865, 1.78]"
16,"[1.628198, 1.698553, 1.7689089999999998, 1.839264, 1.628198, 1.698553, 1.7689089999999998, 1.628198, 1.628198, 1.698553, 1.7689089999999998, 1.839264, 1.628198, 1.698553, 1.7689089999999998, 1.839264]","[-7.259829, -7.149784, -7.108062, -7.107715000000001, -7.0217730000000005, -7.065451, -7.107665, -7.289233, -6.67848, -7.283705, -7.108958, -7.14858, -7.188511, -7.1080890000000005, -7.108923, -7.10907]","[1.573039, 1.7145413999999999, 1.7502663, 1.7576179, 1.6513765999999999, 1.6436156, 1.6413891999999999, 1.49682, 2.170045, 1.4561279999999999, 1.7216278999999999, 1.6433224, 1.6541014, 1.749644, 1.7234544, 1.7145591]",14/10/2024 19:24:50,"[1.72, -7.12, 1.69]","[2.308, -6.865, 1.78]"
24,"[2.19104, 1.839264, 1.909619, 1.979975, 2.05033, 2.12069, 2.19104, 1.839264, 1.839264, 1.909619, 1.979975, 2.05033, 2.12069, 2.19104, 1.839264, 1.909619, 1.909619, 1.979975, 2.05033, 2.12069, 1.839264, 1.909619, 2.05033, 2.12069]","[-7.260271, -7.301271, -7.301398, -7.264727000000001, -7.18511, -7.172865, -7.247314, -7.2960840000000005, -6.831226, -7.300139, -7.225905, -7.187137, -7.1882150000000005, -7.227588, -6.875500000000001, -7.29178, -6.80204, -7.222454, -7.183938, -7.182646, -6.903265, -6.858966000000001, -7.1803300000000005, -7.176877]","[1.335363, 1.7212166, 1.69669029, 1.674863, 1.593904, 1.491568, 1.466364, 1.8351009999999999, 1.4522439999999999, 1.766042, 1.7703721, 1.7762423999999999, 1.7538943999999999, 1.69610304, 1.7391996, 1.881055, 1.547534, 1.82243, 1.8199459999999998, 1.833518, 1.896952, 1.8571529999999998, 1.854793, 1.88173]",14/10/2024 19:24:51,"[2.0, -7.15, 1.72]","[2.308, -6.865, 1.78]"
32,"[2.12069, 2.19104, 2.2614, 2.33175, 2.40211, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 2.40211, 1.979975, 2.05033, 2.12069, 2.12069, 2.19104, 2.2614, 2.33175, 1.979975, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 1.979975, 2.05033, 2.12069, 2.19104, 2.2614, 2.33175, 2.2614, 2.33175]","[-7.300309, -7.299939, -7.337076, -7.356917, -7.386734000000001, -7.263969, -7.262708, -7.261674, -7.3014, -7.343786000000001, -7.3792740000000006, -7.108811, -7.0602860000000005, -6.75075, -7.321936, -7.294175, -7.301165, -7.310963, -7.1090930000000006, -7.109072, -7.1089080000000004, -7.106209, -6.993386, -7.058647000000001, -7.107401, -7.1069450000000005, -7.146573, -7.097218, -7.050121, -7.051192, -7.0471960000000005, -7.044977]","[1.7614511, 1.7710892999999999, 1.686497, 1.453153, 1.406723, 1.7551785, 1.7839279, 1.80156, 1.70213349, 1.3674709999999999, 1.358721, 1.6716053, 1.5818029999999998, 1.223399, 1.935985, 1.857231, 1.6714244, 1.393291, 1.7125822, 1.7143644999999998, 1.7241803, 1.7822396, 1.934753, 1.831771, 1.763563, 1.7712864, 1.7905142, 1.86436, 1.886483, 1.880584, 1.901633, 1.912339]",14/10/2024 19:24:52,"[2.19, -7.18, 1.71]","[2.308, -6.865, 1.78]"
24,"[3.24637, 3.31673, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.1056600000000003, 3.1760200000000003, 3.24637, 3.31673, 3.38708, 3.45744, 3.31673, 3.38708, 3.45744, 3.45744]","[-7.4713210000000005, -7.473295, -7.468326, -7.467936, -7.467386, -7.469104, -7.471513, -7.506031, -7.465567, -7.465248, -7.463142, -7.458438, -7.457092, -7.41646, -7.462572, -7.462311000000001, -7.458302, -7.407786, -7.4042520000000005, -7.406105, -7.392737, -7.385794000000001, -7.572259, -7.572315000000001]","[1.822632, 1.7659361, 1.87626, 1.8820379999999999, 1.889863, 1.864091, 1.818336, 1.7833284999999999, 1.913596, 1.917478, 1.941378, 1.986977, 1.99859, 2.036418, 1.947409, 1.950111, 1.9881769999999999, 2.0886139999999997, 2.107484, 2.097738, 2.162039, 2.190929, 1.6782983, 1.7057669899999999]",14/10/2024 19:24:53,"[3.3, -7.46, 1.93]","[3.503, -6.865, 1.78]"
31,"[5.00525, 5.07561, 5.00525, 5.07561, 5.2163200000000005, 5.2163200000000005, 5.2866800000000005, 5.2866800000000005, 4.65348, 4.7238299999999995, 4.7941899999999995, 4.86454, 5.2866800000000005, 5.2866800000000005, 4.65348, 4.7238299999999995, 4.7941899999999995, 4.86454, 4.7941899999999995, 4.86454, 5.07561, 5.00525, 5.00525, 5.07561, 5.07561, 5.00525, 5.00525, 5.07561, 5.07561, 5.00525, 5.00525]","[-7.604049, -7.603981, -7.603637, -7.603375, -7.627319, -8.393819, -7.596677000000001, -8.792936000000001, -7.628201, -7.626898000000001, -7.624503, -7.618225, -7.59406, -8.748442, -7.6255630000000005, -7.623169, -7.5838, -7.613106, -7.578106, -7.577437, -7.604319, -7.371959, -7.485775, -7.371718, -7.566248, -7.371044, -7.6563680000000005, -7.370823000000001, -7.661639, -7.371588, -7.198934]","[1.7610143999999999, 1.7657379, 1.7859061999999999, 1.7985033, 2.002139, 0.983667, 1.9597829999999998, 2.022504, 1.987603, 2.008798, 2.043824, 2.1195399999999998, 1.9988029999999999, 2.047509, 2.028868, 2.061593, 2.113358, 2.1700749999999998, 2.162204, 2.167488, 1.736235, 1.7303552, 0.31814999999999993, 1.7437215, 0.37595999999999985, 1.7683594999999999, 0.5107899999999999, 1.7746941, 0.52365, 1.7494405, 0.23607]",14/10/2024 19:24:54,"[5.0, -7.65, 1.66]","[4.7, -6.865, 1.78]"
17,"[6.4123600000000005, 6.4827200000000005, 6.06058, 6.13094, 6.2013, 5.99023, 6.06058, 6.13094, 6.2013, 5.99023, 6.06058, 6.13094, 6.2013, 6.06058, 6.13094, 6.2013, 6.27165]","[-7.665584, -7.665942, -7.628049, -7.627225, -7.659517, -7.660929, -7.659235, -7.658297, -7.657824, -7.659022, -7.65761, -7.656441, -7.655539, -7.690527, -7.690145, -7.6898670000000005, -7.6881960000000005]","[1.877416, 1.8645079999999998, 1.99016, 2.003629, 2.0222379999999998, 1.995633, 2.0272449999999997, 2.043298, 2.051056, 2.03098, 2.0545, 2.072618, 2.08588, 2.069906, 2.077104, 2.082229, 2.111368]",14/10/2024 19:24:55,"[6.16, -7.66, 2.03]","[5.9, -6.865, 1.78]"
9,"[6.90485, 6.9752, 6.83449, 6.90485, 6.9752, 7.04556, 6.90485, 6.9752, 7.04556]","[-7.7256547, -7.7252387, -7.724613, -7.723883, -7.724259, -7.6941180000000005, -7.722103000000001, -7.6920910000000005, -7.6921360000000005]","[2.032491, 2.044323, 2.061255, 2.079829, 2.070417, 1.9915859999999999, 2.120921, 2.038466, 2.037502]",14/10/2024 19:24:56,"[6.95, -7.71, 2.05]","[7.1, -6.865, 1.78]"
3,"[1.705163, -0.93515, -0.5062099999999999]","[-10.440380000000001, -9.94734, -10.64425]","[2.129234, 2.00152, 2.555837]",14/10/2024 19:24:57,"[0.09, -10.34, 2.23]","[1.102, -6.865, 1.78]"
3,"[0.715543, 1.705163, -0.93515]","[-10.45076, -10.440380000000001, -9.94734]","[2.1182279999999998, 2.129234, 2.00152]",14/10/2024 19:24:58,"[0.5, -10.28, 2.08]","[1.102, -6.865, 1.78]"
3,"[0.715543, 1.705163, -0.93515]","[-10.45076, -10.440380000000001, -9.94734]","[2.1182279999999998, 2.129234, 2.00152]",14/10/2024 19:24:59,"[0.5, -10.28, 2.08]","[1.102, -6.865, 1.78]"
2,"[1.705163, -0.93515]","[-10.440380000000001, -9.94734]","[2.129234, 2.00152]",14/10/2024 19:25:00,"[0.39, -10.19, 2.07]","[1.102, -6.865, 1.78]"
4,"[0.715543, 1.705163, -0.93515, -0.5062099999999999]","[-10.45076, -10.440380000000001, -9.94734, -10.64425]","[2.1182279999999998, 2.129234, 2.00152, 2.555837]",14/10/2024 19:25:01,"[0.24, -10.37, 2.2]","[1.102, -6.865, 1.78]"
3,"[0.715543, 1.705163, -0.93515]","[-10.45076, -10.440380000000001, -9.94734]","[2.1182279999999998, 2.129234, 2.00152]",14/10/2024 19:25:02,"[0.5, -10.28, 2.08]","[1.102, -6.865, 1.78]"
1,[7.25663],[-7.661781],[1.978152],14/10/2024 19:25:03,"[7.26, -7.66, 1.98]","[7.1, -6.865, 1.78]"
3,"[7.11591, 7.18627, 7.11591]","[-7.689617, -7.689385000000001, -7.694953]","[2.086766, 2.090922, 1.969493]",14/10/2024 19:25:04,"[7.14, -7.69, 2.05]","[7.1, -6.865, 1.78]"
3,"[0.715543, 1.705163, -0.93515]","[-10.45076, -10.440380000000001, -9.94734]","[2.1182279999999998, 2.129234, 2.00152]",14/10/2024 19:25:05,"[0.5, -10.28, 2.08]","[1.102, -6.865, 1.78]"
